Unnamed: 0,STL,CHI
First Downs,12,20
Rush-Yds-TDs,17-59-0,34-103-1
Cmp-Att-Yd-TD-INT,18-35-152-0-2,17-31-183-0-1
Sacked-Yards,6-51,2-12
Net Pass Yards,101,171
Total Yards,160,274
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,4-40,6-45
Third Down Conv.,3-13,4-14
Fourth Down Conv.,0-1,1-1
Time of Possession,26:04,33:56
