Quarter,Time,Down,ToGo,Location,STL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 68 yards, returned by Devin Hester for 30 yards (tackle by Quintin Mikell)",0.000,0.740
1,14:54,1,10,CHI 27,0,0,Michael Bush right tackle for 12 yards (tackle by Craig Dahl),0.740,1.530
1,14:20,1,10,CHI 39,0,0,Jay Cutler pass incomplete short right intended for Devin Hester,1.530,0.990
1,14:16,2,10,CHI 39,0,0,Jay Cutler pass complete short right to Brandon Marshall for 9 yards (tackle by Janoris Jenkins),0.990,1.490
1,13:39,3,1,CHI 48,0,0,Michael Bush left tackle for 3 yards (tackle by James Laurinaitis),1.490,2.320
1,13:18,1,10,STL 49,0,0,"Penalty on Chilo Rachal: False Start, 5 yards (no play)",2.320,1.990
1,13:05,1,15,CHI 46,0,0,Jay Cutler pass complete short middle to Kellen Davis for 8 yards (tackle by James Laurinaitis),1.990,2.190
1,12:31,2,7,STL 46,0,0,Michael Bush right tackle for 2 yards (tackle by Jermelle Cudjo),2.190,0.000
1,11:55,,,,0,0,Timeout #1 by Chicago Bears,0.000,1.750
1,11:55,3,5,STL 44,0,0,Jay Cutler pass incomplete short left intended for Earl Bennett (defended by Janoris Jenkins),1.750,0.330
1,11:51,4,5,STL 44,0,0,"Adam Podlesh punts 36 yards, fair catch by Danny Amendola. Penalty on Geno Hayes: Offensive Holding, 10 yards (no play)",0.330,-0.320
1,11:35,4,15,CHI 46,0,0,"Adam Podlesh punts 54 yards, touchback. Penalty on Jo-Lonn Dunbar: Roughing the Kicker, 15 yards (no play)",-0.320,2.980
1,11:32,1,10,STL 39,0,0,Jay Cutler pass complete short left to Brandon Marshall for 3 yards (tackle by Bradley Fletcher),2.980,2.850
1,10:56,2,7,STL 36,0,0,Jay Cutler pass incomplete deep right intended for Alshon Jeffery (defended by Cortland Finnegan),2.850,2.150
1,10:50,3,7,STL 36,0,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,2.150,0.880
1,10:46,4,7,STL 36,0,3,Robbie Gould 54 yard field goal good,0.880,3.000
1,10:41,,,CHI 35,0,3,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,10:41,1,10,STL 20,0,3,Sam Bradford pass complete short left to Brandon Gibson for 8 yards (tackle by Tim Jennings),0.280,0.810
1,10:08,2,2,STL 28,0,3,Sam Bradford right end for 4 yards (tackle by Charles Tillman),0.810,1.070
1,9:42,1,10,STL 32,0,3,Steven Jackson left guard for 4 yards (tackle by Henry Melton),1.070,1.070
1,8:55,2,6,STL 36,0,3,Sam Bradford pass complete short left to Lance Kendricks for 5 yards (tackle by Brian Urlacher),1.070,1.030
1,8:16,3,1,STL 41,0,3,Steven Jackson left end for 2 yards (tackle by Julius Peppers),1.030,1.800
1,7:39,1,10,STL 43,0,3,Steven Jackson left end for -2 yards (tackle by Amobi Okoye),1.800,0.980
1,6:54,2,12,STL 41,0,3,"Penalty on Stephen Paea: Neutral Zone Infraction, 5 yards (no play)",0.980,1.660
1,6:34,2,7,STL 46,0,3,Sam Bradford pass complete short right to Lance Kendricks for 5 yards (tackle by Lance Briggs),1.660,1.620
1,5:54,3,2,CHI 49,0,3,Sam Bradford sacked by Amobi Okoye for -13 yards,1.620,-0.850
1,5:36,4,15,STL 38,0,3,"John Hekker punts 41 yards, returned by Devin Hester for 14 yards (tackle by Lance Kendricks)",-0.850,-1.270
1,5:23,1,10,CHI 35,0,3,"Penalty on Lance Louis: False Start, 5 yards (no play)",1.270,0.940
1,5:23,1,15,CHI 30,0,3,Jay Cutler pass incomplete short left intended for Kellen Davis,0.940,0.050
1,5:17,2,15,CHI 30,0,3,Jay Cutler sacked by Chris Long for -2 yards,0.050,-0.890
1,4:56,3,17,CHI 28,0,3,Jay Cutler pass complete short right to Michael Bush for 18 yards (tackle by Bradley Fletcher),-0.890,1.990
1,4:14,1,10,CHI 46,0,3,Jay Cutler pass incomplete deep right intended for Alshon Jeffery (defended by Cortland Finnegan),1.990,1.450
1,4:09,2,10,CHI 46,0,3,Michael Bush left guard for 13 yards (tackle by Craig Dahl),1.450,2.850
1,3:33,1,10,STL 41,0,3,Devin Hester left end for 8 yards (tackle by Cortland Finnegan),2.850,3.390
1,3:15,2,2,STL 33,0,3,Michael Bush right guard for 1 yard (tackle by Quintin Mikell),3.390,2.810
1,2:33,3,1,STL 32,0,3,Michael Bush left guard for no gain (tackle by Jermelle Cudjo),2.810,1.310
1,1:48,4,1,STL 32,0,3,Michael Bush right tackle for 2 yards (tackle by James Laurinaitis),1.310,3.580
1,1:06,1,10,STL 30,0,3,Kahlil Bell left end for no gain (tackle by Eugene Sims and Jo-Lonn Dunbar),3.580,3.030
1,0:27,2,10,STL 30,0,3,Jay Cutler pass incomplete short left intended for Brandon Marshall is intercepted by Cortland Finnegan at STL-22 and returned for 32 yards (tackle by Jay Cutler),3.030,-2.520
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
1,0:16,1,10,CHI 46,0,3,Sam Bradford pass incomplete short right intended for Chris Givens,2.520,1.980
1,0:10,2,10,CHI 46,0,3,Sam Bradford pass incomplete deep left intended for Brandon Gibson,1.980,1.290
1,0:04,3,10,CHI 46,0,3,Sam Bradford sacked by Stephen Paea for -10 yards,1.290,-0.460
Quarter,Time,Down,ToGo,Location,STL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,20,STL 44,0,3,"John Hekker punts 56 yards, touchback",-0.460,-0.280
2,14:51,1,10,CHI 20,0,3,Michael Bush left end for 1 yard (tackle by Jo-Lonn Dunbar),0.280,-0.130
2,14:14,2,9,CHI 21,0,3,Michael Bush left tackle for 12 yards (tackle by Quintin Mikell),-0.130,1.140
2,13:28,1,10,CHI 33,0,3,Michael Bush left guard for -4 yards (tackle by Kellen Heard),1.140,0.050
2,12:49,2,14,CHI 29,0,3,Jay Cutler pass incomplete short middle intended for Brandon Marshall,0.050,-0.620
2,12:45,3,14,CHI 29,0,3,Jay Cutler pass complete short middle to Earl Bennett for 11 yards (tackle by James Laurinaitis),-0.620,-0.720
2,12:10,4,3,CHI 40,0,3,"Adam Podlesh punts 46 yards, returned by Danny Amendola for 3 yards (tackle by Craig Steltz)",-0.720,0.060
2,11:59,1,10,STL 17,0,3,Daryl Richardson left end for 12 yards (tackle by Major Wright),-0.060,0.870
2,11:19,1,10,STL 29,0,3,Daryl Richardson right tackle for 1 yard (tackle by Henry Melton),0.870,0.460
2,10:39,2,9,STL 30,0,3,Sam Bradford sacked by Israel Idonije for -5 yards,0.460,-0.890
2,9:44,3,14,STL 25,0,3,Sam Bradford pass complete short right to Daryl Richardson for 4 yards (tackle by Lance Briggs),-0.890,-1.440
2,9:04,4,10,STL 29,0,3,"John Hekker punts 52 yards, out of bounds",-1.440,-0.150
2,8:57,1,10,CHI 19,0,3,Jay Cutler pass incomplete short left intended for Earl Bennett,0.150,-0.390
2,8:54,2,10,CHI 19,0,3,Jay Cutler pass complete short left to Alshon Jeffery for 10 yards (tackle by Janoris Jenkins),-0.390,0.870
2,8:09,1,10,CHI 29,0,3,Kahlil Bell left tackle for no gain (tackle by Rocky McIntosh),0.870,0.330
2,7:28,2,10,CHI 29,0,3,Jay Cutler pass complete short left to Kahlil Bell for 11 yards (tackle by Janoris Jenkins),0.330,1.600
2,6:49,1,10,CHI 40,0,3,"Penalty on Chilo Rachal: False Start, 5 yards (no play)",1.600,1.270
2,6:31,1,15,CHI 35,0,3,Kahlil Bell left tackle for 18 yards (tackle by Craig Dahl),1.270,2.460
2,6:13,1,10,STL 47,0,3,Michael Bush left guard for 2 yards (tackle by Jermelle Cudjo),2.460,2.180
2,5:37,2,8,STL 45,0,3,Jay Cutler pass complete short left to Michael Bush for no gain,2.180,1.490
2,4:58,3,8,STL 45,0,3,"Jay Cutler pass incomplete short right intended for Brandon Marshall. Penalty on Darian Stewart: Roughing the Passer, 15 yards (no play)",1.490,3.580
2,4:54,1,10,STL 30,0,3,Jay Cutler pass complete short middle to Brandon Marshall for 13 yards (tackle by Jo-Lonn Dunbar),3.580,4.440
2,4:14,1,10,STL 17,0,3,Michael Bush right guard for -2 yards (tackle by William Hayes),4.440,3.600
2,3:34,2,12,STL 19,0,3,"Jay Cutler pass incomplete deep right intended for Alshon Jeffery. Penalty on J'Marcus Webb: Offensive Holding (Offsetting), Penalty on Bradley Fletcher: Defensive Pass Interference (Offsetting) (no play)",3.600,3.600
2,3:28,2,12,STL 19,0,3,Michael Bush right end for 4 yards (tackle by James Laurinaitis),3.600,3.340
2,2:47,3,8,STL 15,0,3,Jay Cutler pass complete short middle to Brandon Marshall for 12 yards (tackle by Bradley Fletcher),3.340,6.510
2,2:00,1,3,STL 3,0,9,"Michael Bush right end for 3 yards, touchdown",6.510,7.000
2,2:00,,,STL 2,0,10,Robbie Gould kicks extra point good,0.000,0.000
2,1:56,,,CHI 35,0,10,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
2,1:56,1,10,STL 20,0,10,Sam Bradford pass complete short left to Steven Jackson for 5 yards (tackle by Charles Tillman),0.280,0.410
2,1:32,2,5,STL 25,0,10,Sam Bradford pass complete short right to Steve Smith for 15 yards (tackle by Tim Jennings),0.410,1.600
2,1:11,1,10,STL 40,0,10,Sam Bradford pass incomplete short right intended for Lance Kendricks (defended by Lance Briggs),1.600,1.050
2,1:07,2,10,STL 40,0,10,Sam Bradford right end for 10 yards (tackle by Charles Tillman),1.050,2.260
2,1:01,1,10,,0,10,Sam Bradford pass incomplete short middle intended for Danny Amendola,2.260,1.710
2,0:56,2,10,,0,10,Steven Jackson right guard for 3 yards (tackle by Israel Idonije),1.710,0.000
2,0:51,,,,0,10,Timeout #1 by St. Louis Rams,0.000,1.420
2,0:51,3,7,CHI 47,0,10,Sam Bradford pass complete short middle to Danny Amendola for 10 yards (tackle by Lance Briggs),1.420,3.120
2,0:37,1,10,CHI 37,0,10,Sam Bradford spiked the ball,3.120,2.570
2,0:36,2,10,CHI 37,0,10,Sam Bradford pass incomplete short right intended for Steve Smith,2.570,1.880
2,0:32,3,10,CHI 37,0,10,Sam Bradford pass incomplete short right intended for Brandon Gibson,1.880,0.000
2,0:27,,,,0,10,Timeout #2 by Chicago Bears,0.000,0.790
2,0:27,4,10,CHI 37,3,10,Greg Zuerlein 56 yard field goal good,0.790,3.000
2,0:22,,,STL 35,3,10,"Greg Zuerlein kicks off 69 yards, returned by Devin Hester for 37 yards (tackle by Quintin Mikell)",0.000,1.140
2,0:16,1,10,CHI 33,3,10,Armando Allen right guard for 2 yards (tackle by James Laurinaitis),1.140,0.860
