Quarter,Time,Tm,Detail,NWE,NYJ
2.0,12:10,Patriots,Rob Gronkowski 3 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,5:59,Jets,Jeff Cumberland 20 yard pass from Geno Smith (Nick Folk kick),7,7
,0:52,Jets,Nick Folk 26 yard field goal,7,10
3.0,6:39,Jets,Nick Folk 23 yard field goal,7,13
,1:55,Patriots,Stephen Gostkowski 24 yard field goal,10,13
4.0,13:51,Patriots,Jonas Gray 1 yard rush (Stephen Gostkowski kick),17,13
,7:53,Jets,Nick Folk 37 yard field goal,17,16
