Unnamed: 0,DET,DAL
First Downs,18,21
Rush-Yds-TDs,25-117-0,32-139-2
Cmp-Att-Yd-TD-INT,21-26-228-0-2,19-25-207-1-0
Sacked-Yards,5-33,2-16
Net Pass Yards,195,191
Total Yards,312,330
Fumbles-Lost,5-3,2-1
Turnovers,5,1
Penalties-Yards,8-59,7-55
Third Down Conv.,3-9,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,31:14,28:46
