Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Dak Prescott pass incomplete deep left intended for Noah Brown,0.610,0.060
1,14:52,2,10,DAL 25,0,0,Ezekiel Elliott left tackle for 2 yards (tackle by DeShon Elliott and Jeff Okudah),0.060,-0.360
1,14:16,3,8,DAL 27,0,0,Dak Prescott sacked by and Alex Anzalone for -9 yards and Aidan Hutchinson for -9 yards,-0.360,-2.240
1,13:38,4,17,DAL 18,0,0,"Bryan Anger punts 56 yards, returned by Kalif Raymond for 13 yards (tackle by Noah Brown)",-2.240,-1.530
1,13:26,1,10,DET 39,0,0,Jared Goff pass complete short left to Brock Wright for 11 yards (tackle by Malik Hooker),1.530,2.260
1,12:48,1,10,DET 50,0,0,Jamaal Williams left tackle for 3 yards (tackle by Osa Odighizuwa),2.260,2.120
1,12:12,2,7,DAL 47,0,0,"Jamaal Williams up the middle for no gain. Jamaal Williams fumbles (forced by Donovan Wilson), recovered by Brock Wright at DAL-47",2.120,1.420
1,11:26,3,7,DAL 47,0,0,Craig Reynolds left tackle for no gain (tackle by DeMarcus Lawrence),1.420,0.130
1,10:48,4,7,DAL 47,0,0,"Scott Daly fumbles, recovered by Jack Fox at DAL-47 Jack Fox punts 47 yards, touchback.",0.130,-0.280
1,10:39,1,10,DAL 20,0,0,Ezekiel Elliott left guard for 2 yards (tackle by Josh Paschal),0.280,0.140
1,10:14,2,7,DAL 23,0,0,Dak Prescott pass complete short middle to Jake Ferguson for 7 yards (tackle by Malcolm Rodriguez),0.140,0.230
1,9:45,3,1,DAL 29,0,0,Ezekiel Elliott right end for -2 yards (tackle by Jeff Okudah),0.230,-1.570
1,9:01,4,3,DAL 27,0,0,"Bryan Anger punts 43 yards, fair catch by Kalif Raymond at DET-30",-1.570,-0.940
1,8:53,1,10,DET 30,0,0,Kalif Raymond right end for 12 yards (tackle by Leighton Vander Esch and Carlos Watkins),0.940,1.730
1,8:22,1,10,DET 42,0,0,Justin Jackson right tackle for -1 yards (tackle by DeMarcus Lawrence and Dorance Armstrong),1.730,1.050
1,7:47,2,11,DET 41,0,0,Jared Goff pass complete short right to Craig Reynolds for 11 yards (tackle by Jayron Kearse),1.050,2.390
1,7:07,1,10,DAL 48,0,0,Jared Goff pass complete short left to T.J. Hockenson for 11 yards (tackle by Jayron Kearse),2.390,3.050
1,6:34,1,10,DAL 38,0,0,Jared Goff pass complete short right to Kalif Raymond for 8 yards (tackle by Leighton Vander Esch),3.050,3.650
1,5:55,2,2,DAL 29,0,0,Jamaal Williams up the middle for 5 yards (tackle by Carlos Watkins),3.650,3.970
1,5:22,1,10,DAL 24,0,0,Craig Reynolds up the middle for -1 yards (tackle by Jayron Kearse),3.970,3.300
1,4:36,2,11,DAL 25,0,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Jourdan Lewis),3.300,3.140
1,4:05,3,7,DAL 21,0,0,Jared Goff pass incomplete short left intended for Kalif Raymond (defended by Trevon Diggs),3.140,2.060
1,4:02,4,7,DAL 21,3,0,Michael Badgley 40 yard field goal good,2.060,3.000
1,3:58,,,DET 35,3,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,3:58,1,10,DAL 25,3,0,KaVontae Turpin right end for 3 yards (tackle by Jeff Okudah),0.610,0.470
1,3:19,2,7,DAL 28,3,0,Tony Pollard up the middle for 6 yards (tackle by Jeff Okudah),0.470,0.560
1,2:49,3,1,DAL 34,3,0,Ezekiel Elliott left guard for 2 yards (tackle by Josh Paschal),0.560,1.330
1,2:09,1,10,DAL 36,3,0,Dak Prescott pass complete short left to Dalton Schultz for 15 yards (tackle by Alex Anzalone),1.330,2.320
1,1:33,1,10,DET 49,3,0,Dak Prescott pass complete short left to Noah Brown for 2 yards (tackle by Jeff Okudah),2.320,2.050
1,1:05,2,8,DET 47,3,0,Dak Prescott pass complete deep right to CeeDee Lamb for 24 yards (tackle by DeShon Elliott),2.050,4.040
1,0:27,1,10,DET 23,3,0,Tony Pollard up the middle for 7 yards (tackle by DeShon Elliott),4.040,4.560
Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,DET 16,3,0,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",4.560,3.770
2,15:00,2,8,DET 21,3,0,Dak Prescott pass complete short left to Dalton Schultz for 10 yards (tackle by Alex Anzalone and Amani Oruwariye),3.770,4.840
2,14:29,1,10,DET 11,3,0,Tony Pollard up the middle for 6 yards (tackle by Malcolm Rodriguez),4.840,5.280
2,13:54,2,4,DET 5,3,0,Tony Pollard up the middle for 2 yards (tackle by Jeff Okudah),5.280,4.890
2,13:12,3,2,DET 3,3,0,Tony Pollard right tackle for no gain (tackle by Benito Jones),4.890,3.050
2,12:27,,,,,,Timeout #1 by Dallas Cowboys,,
2,12:27,4,2,DET 3,3,3,Brett Maher 22 yard field goal good,3.050,3.000
2,12:24,,,DAL 35,3,3,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,12:24,1,10,DET 25,3,3,Jamaal Williams left end for 2 yards (tackle by Anthony Barr),0.610,0.330
2,11:47,2,8,DET 27,3,3,Jared Goff pass complete short middle to T.J. Hockenson for 14 yards (tackle by Leighton Vander Esch and Jayron Kearse),0.330,1.660
2,11:05,1,10,DET 41,3,3,Jamaal Williams up the middle for 4 yards (tackle by Jayron Kearse),1.660,1.660
2,10:32,2,6,DET 45,3,3,"Jared Goff pass complete short right to Tom Kennedy for 9 yards (tackle by Leighton Vander Esch). Penalty on Micah Parsons: Roughing the Passer, 15 yards (accepted)",1.660,3.510
2,10:05,1,10,DAL 31,3,3,Jared Goff pass complete short middle to Brock Wright for 6 yards (tackle by Anthony Barr),3.510,3.780
2,9:28,2,4,DAL 25,3,3,Jared Goff pass incomplete short right,3.780,3.070
2,9:22,3,4,DAL 25,3,3,"Jamaal Williams up the middle for no gain (tackle by DeMarcus Lawrence). Penalty on Evan Brown: Offensive Holding, 10 yards (accepted) (no play)",3.070,1.750
2,8:50,3,14,DAL 35,3,3,Jared Goff pass complete short right to Craig Reynolds for 1 yard (tackle by Leighton Vander Esch and Dorance Armstrong),1.750,1.060
2,8:03,4,13,DAL 34,6,3,Michael Badgley 53 yard field goal good,1.060,3.000
2,7:59,,,DET 35,6,3,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,7:59,1,10,DAL 25,6,3,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",0.610,0.280
2,7:59,1,15,DAL 20,6,3,Ezekiel Elliott up the middle for 2 yards (tackle by Jeff Okudah),0.280,-0.340
