Unnamed: 0,SFO,CLE
First Downs,9,18
Rush-Yds-TDs,24-112-0,36-163-0
Cmp-Att-Yd-TD-INT,13-22-104-1-0,14-28-197-1-1
Sacked-Yards,5-31,1-2
Net Pass Yards,73,195
Total Yards,185,358
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,4-29,9-75
Third Down Conv.,4-14,7-15
Fourth Down Conv.,0-1,0-0
Time of Possession,28:14,31:46
