Unnamed: 0,PHI,KAN
First Downs,27,16
Rush-Yds-TDs,17-107-0,19-112-2
Cmp-Att-Yd-TD-INT,25-46-333-2-1,21-28-251-1-0
Sacked-Yards,6-34,4-19
Net Pass Yards,299,232
Total Yards,406,344
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,4-30,5-40
Third Down Conv.,8-15,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:49,29:11
