Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 69 yards, returned by De'Anthony Thomas for 30 yards (tackle by Malcolm Jenkins). Penalty on Kevin Pierre-Louis: Offensive Holding, 10 yards",0.000,0.370
1,14:55,1,10,KAN 11,0,0,Kareem Hunt middle for 4 yards (tackle by Brandon Graham and Timmy Jernigan),-0.370,-0.430
1,14:21,2,6,KAN 15,0,0,Alex Smith pass complete short left to Travis Kelce for 12 yards (tackle by Jaylen Watkins),-0.430,0.740
1,13:45,1,10,KAN 27,0,0,Alex Smith pass complete short right to Chris Conley for 7 yards (tackle by Jalen Mills),0.740,1.140
1,13:06,2,3,KAN 34,0,0,Alex Smith pass complete deep right to Travis Kelce for 44 yards (tackle by Malcolm Jenkins),1.140,4.110
1,12:16,1,10,PHI 22,0,0,Alex Smith pass incomplete short right intended for Ross Travis (defended by Mychal Kendricks),4.110,3.560
1,12:11,2,10,PHI 22,0,0,Tyreek Hill left guard for 6 yards (tackle by Beau Allen),3.560,3.740
1,11:31,3,4,PHI 16,0,0,Alex Smith pass incomplete short middle intended for Travis Kelce,3.740,2.450
1,11:26,4,4,PHI 16,0,3,Cairo Santos 34 yard field goal good,2.450,3.000
1,11:22,,,KAN 35,0,3,"Cairo Santos kicks off 66 yards, returned by Wendell Smallwood for 27 yards (tackle by Frank Zombo)",0.000,-0.670
1,11:17,1,10,PHI 26,0,3,Carson Wentz pass complete short middle to Alshon Jeffery for 11 yards (tackle by Daniel Sorensen),0.670,1.400
1,10:41,1,10,PHI 37,0,3,Darren Sproles left tackle for 12 yards (tackle by Daniel Sorensen),1.400,2.190
1,10:02,1,10,PHI 49,0,3,Carson Wentz pass complete deep middle to Torrey Smith for 22 yards (tackle by Ramik Wilson),2.190,3.640
1,9:16,1,10,KAN 29,0,3,Carson Wentz pass complete short left to Wendell Smallwood for -3 yards (tackle by Ramik Wilson),3.640,2.700
1,8:32,2,13,KAN 32,0,3,Darren Sproles left end for 6 yards (tackle by Dee Ford),2.700,2.810
1,7:52,3,7,KAN 26,0,3,Carson Wentz pass complete short right to Alshon Jeffery for 12 yards (tackle by Derrick Johnson),2.810,4.650
1,7:10,1,10,KAN 14,0,3,Carson Wentz pass complete short right to LeGarrette Blount for no gain,4.650,4.000
1,6:28,2,10,KAN 14,0,3,"LeGarrette Blount middle for 1 yard (tackle by Chris Jones). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",4.000,2.740
1,6:02,2,20,KAN 24,0,3,"Carson Wentz pass incomplete short middle intended for Alshon Jeffery. Penalty on Eric Murray: Defensive Holding, 5 yards (no play)",2.740,4.310
1,5:56,1,10,KAN 19,0,3,Carson Wentz pass incomplete deep right intended for Torrey Smith,4.310,3.750
1,5:51,2,10,KAN 19,0,3,Darren Sproles middle for 3 yards (tackle by Chris Jones),3.750,3.410
1,5:10,3,7,KAN 16,0,3,Carson Wentz pass incomplete short middle intended for Wendell Smallwood,3.410,2.380
1,4:32,4,7,KAN 16,3,3,Jake Elliott 34 yard field goal good,2.380,3.000
1,4:28,,,PHI 35,3,3,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,4:28,1,10,KAN 25,3,3,Kareem Hunt left tackle for 1 yard (tackle by Vinny Curry),0.610,0.200
1,3:53,2,9,KAN 26,3,3,Alex Smith pass complete short right to Travis Kelce for 3 yards (tackle by Jordan Hicks),0.200,-0.100
1,3:06,3,6,KAN 29,3,3,Alex Smith pass complete short left to Tyreek Hill for 14 yards (tackle by Rodney McLeod),-0.100,1.800
1,2:27,1,10,KAN 43,3,3,Alex Smith pass complete short right to Kareem Hunt for 16 yards (tackle by Rodney McLeod and Jaylen Watkins),1.800,2.850
1,1:37,1,10,PHI 41,3,3,Alex Smith pass incomplete deep left intended for Tyreek Hill,2.850,2.310
1,1:29,2,10,PHI 41,3,3,Kareem Hunt right tackle for 2 yards (tackle by Derek Barnett),2.310,1.880
1,0:43,3,8,PHI 39,3,3,Alex Smith pass incomplete short left intended for Travis Kelce,1.880,0.660
1,0:32,4,8,PHI 39,3,3,"Dustin Colquitt punts 39 yards, touchback",0.660,-0.280
1,0:25,1,10,PHI 20,3,3,Carson Wentz middle for 5 yards (tackle by Rakeem Nunez-Roches),0.280,0.410
Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,PHI 25,3,3,Carson Wentz pass complete short right to Darren Sproles for 16 yards (tackle by Marcus Peters),0.410,1.660
2,14:22,1,10,PHI 41,3,3,Wendell Smallwood middle for -2 yards (tackle by Allen Bailey),1.660,0.850
2,13:37,2,12,PHI 39,3,3,Carson Wentz pass complete short middle to Zach Ertz for 13 yards (tackle by Eric Murray),0.850,2.390
2,13:00,1,10,KAN 48,3,3,Darren Sproles middle for 2 yards (tackle by Bennie Logan and Allen Bailey),2.390,2.120
2,12:32,2,8,KAN 46,3,3,"Carson Wentz pass complete short right to Darren Sproles for 1 yard (tackle by Derrick Johnson). Penalty on Phillip Gaines: Defensive Holding, 5 yards (no play)",2.120,2.850
2,12:05,1,10,KAN 41,3,3,"Carson Wentz sacked by Chris Jones for -6 yards. Carson Wentz fumbles (forced by Chris Jones), recovered by Lane Johnson at KAN-46",2.850,1.630
2,11:16,2,15,KAN 46,3,3,Darren Sproles left tackle for -3 yards (tackle by Justin Houston),1.630,0.560
2,10:30,3,18,KAN 49,3,3,Carson Wentz pass incomplete deep left intended for Nelson Agholor,0.560,0.000
2,10:24,4,18,KAN 49,3,3,"Donnie Jones punts 49 yards, touchback. Penalty on Kamu Grugier-Hill: Tripping, 10 yards",0.000,-0.940
2,10:16,1,10,KAN 30,3,3,"Alex Smith pass incomplete short middle intended for Demetrius Harris. Penalty on Brandon Graham: Defensive Offside, 5 yards (no play)",0.940,1.670
2,10:11,1,5,KAN 35,3,3,Kareem Hunt right end for -1 yards (tackle by Mychal Kendricks),1.670,0.930
2,9:27,2,6,KAN 34,3,3,Alex Smith pass complete short left to Tyreek Hill for 4 yards (tackle by Rasul Douglas),0.930,0.760
2,8:51,3,2,KAN 38,3,3,Albert Wilson middle for 4 yards (tackle by Brandon Graham),0.760,1.730
2,8:11,1,10,KAN 42,3,3,"Penalty on Bryan Witzmann: False Start, 5 yards (no play)",1.730,1.400
2,7:43,1,15,KAN 37,3,3,"Alex Smith middle for 8 yards (tackle by Rasul Douglas). Penalty on Rasul Douglas: Illegal Use of Hands (Offsetting), Penalty on Bryan Witzmann: Offensive Holding (Offsetting) (no play)",1.400,1.400
2,7:43,1,15,KAN 37,3,3,Alex Smith middle for 4 yards (tackle by Patrick Robinson),1.400,1.050
2,6:36,2,11,KAN 41,3,3,Alex Smith sacked by Mychal Kendricks for -5 yards,1.050,-0.290
2,5:53,3,16,KAN 36,3,3,Alex Smith pass complete short right to Albert Wilson for 10 yards (tackle by Jordan Hicks and Corey Graham),-0.290,-0.320
2,5:12,4,6,KAN 46,3,3,"Dustin Colquitt punts 47 yards, fair catch by Darren Sproles",-0.320,0.380
2,5:03,1,10,PHI 7,3,3,Darren Sproles right end for 6 yards (tackle by Daniel Sorensen),-0.380,-0.340
2,4:17,2,4,PHI 13,3,3,Carson Wentz pass incomplete deep right intended for Torrey Smith,-0.340,-0.720
2,4:08,3,4,PHI 13,3,3,Carson Wentz pass complete short right to Zach Ertz for 10 yards (tackle by Daniel Sorensen),-0.720,0.480
2,3:24,1,10,PHI 23,3,3,Carson Wentz pass incomplete short middle intended for Nelson Agholor (defended by Eric Murray),0.480,-0.070
2,3:19,2,10,PHI 23,3,3,Carson Wentz pass incomplete deep middle intended for Alshon Jeffery. Penalty on PHI: Illegal Formation (Declined),-0.070,-0.760
2,3:10,3,10,PHI 23,3,3,Carson Wentz sacked by Dee Ford for -9 yards,-0.760,-2.470
2,2:31,4,19,PHI 14,3,3,"Donnie Jones punts 49 yards, out of bounds",-2.470,-1.400
2,2:25,1,10,KAN 37,3,3,Kareem Hunt middle for 2 yards (tackle by Nigel Bradham),1.400,1.130
2,2:00,2,8,KAN 39,3,3,Alex Smith pass complete short middle to Travis Kelce for 3 yards (tackle by Vinny Curry),1.130,0.000
2,1:26,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-0.830
2,1:26,3,5,KAN 42,3,3,Alex Smith sacked by Fletcher Cox for -3 yards,0.830,0.000
2,1:21,,,,,,Timeout #1 by Philadelphia Eagles,0.000,0.780
2,1:21,4,8,KAN 39,3,3,"Dustin Colquitt punts 51 yards, returned by Darren Sproles for 10 yards (tackle by James Winchester). Darren Sproles fumbles (forced by James Winchester), recovered by Anthony Sherman at PHI-24",-0.780,3.970
2,1:06,1,10,PHI 24,3,3,Alex Smith sacked by Brandon Graham and Timmy Jernigan for -6 yards,3.970,2.620
2,0:31,2,16,PHI 30,3,3,Alex Smith pass complete short middle to Travis Kelce for 9 yards (tackle by Nigel Bradham and Jordan Hicks),2.620,0.000
2,0:26,,,,,,Timeout #2 by Kansas City Chiefs,0.000,-3.140
2,0:26,3,7,PHI 21,3,3,Alex Smith pass incomplete,3.140,0.000
2,0:21,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-2.060
2,0:21,4,7,PHI 21,3,6,Cairo Santos 39 yard field goal good,2.060,3.000
2,0:17,,,KAN 35,3,6,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
2,0:17,1,10,PHI 25,3,6,Darren Sproles for 11 yards,0.610,1.330
2,0:12,1,10,PHI 36,3,6,Carson Wentz pass complete deep left to Zach Ertz for 53 yards (tackle by Eric Murray),1.330,0.000
2,0:02,,,,,,Timeout #3 by Philadelphia Eagles,0.000,0.000
2,0:02,,,,,,Timeout #3 by Kansas City Chiefs,0.000,-4.840
2,0:02,1,10,KAN 11,3,6,Jake Elliott 30 yard field goal no good,4.840,0.040
Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
