Quarter,Time,Tm,Detail,KAN,ARI
1.0,9:37,Chiefs,Travis Kelce 9 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,3:20,Chiefs,Clyde Edwards-Helaire 3 yard pass from Patrick Mahomes (Justin Reid kick),14,0
2.0,13:05,Cardinals,James Conner 2 yard rush (Matt Prater kick),14,7
,7:32,Chiefs,Clyde Edwards-Helaire 4 yard pass from Patrick Mahomes (Justin Reid kick failed),20,7
,0:02,Chiefs,Harrison Butker 54 yard field goal,23,7
3.0,9:55,Chiefs,Jody Fortson 1 yard pass from Patrick Mahomes (Harrison Butker kick),30,7
,3:56,Chiefs,Mecole Hardman 2 yard pass from Patrick Mahomes (Harrison Butker kick),37,7
4.0,12:52,Cardinals,Marquise Brown 6 yard pass from Kyler Murray (Zach Ertz pass from Kyler Murray),37,15
,7:39,Chiefs,Isiah Pacheco 3 yard rush (Harrison Butker kick),44,15
,5:11,Cardinals,Zach Ertz 6 yard pass from Kyler Murray (pass failed),44,21
