Unnamed: 0,KAN,ARI
First Downs,33,18
Rush-Yds-TDs,27-128-1,22-103-1
Cmp-Att-Yd-TD-INT,30-39-360-5-0,24-38-205-2-0
Sacked-Yards,0-0,3-26
Net Pass Yards,360,179
Total Yards,488,282
Fumbles-Lost,5-1,3-0
Turnovers,1,0
Penalties-Yards,3-25,5-49
Third Down Conv.,5-8,3-12
Fourth Down Conv.,1-1,3-4
Time of Possession,34:42,25:18
