Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Clyde Edwards-Helaire up the middle for 9 yards (tackle by Budda Baker and Byron Murphy),0.610,1.280
1,14:27,2,1,KAN 34,0,0,Patrick Mahomes scrambles left end for 1 yard (tackle by Marco Wilson),1.280,1.270
1,13:52,1,10,KAN 35,0,0,Clyde Edwards-Helaire up the middle for 7 yards (tackle by Budda Baker and Michael Dogbe),1.270,1.600
1,13:15,2,4,KAN 42,0,0,Clyde Edwards-Helaire left end for 18 yards (tackle by Budda Baker),1.600,2.920
1,12:36,1,10,ARI 40,0,0,Patrick Mahomes pass incomplete deep left intended for Mecole Hardman,2.920,2.370
1,12:30,2,10,ARI 40,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Budda Baker),2.370,3.580
1,11:54,1,10,ARI 30,0,0,Patrick Mahomes pass complete short right to Jerick McKinnon for 3 yards (tackle by Devon Kennard),3.580,3.440
1,11:10,2,7,ARI 27,0,0,Clyde Edwards-Helaire up the middle for no gain (tackle by Byron Murphy),3.440,2.740
1,10:28,3,7,ARI 27,0,0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 18 yards (tackle by Isaiah Simmons),2.740,5.140
1,9:47,1,9,ARI 9,0,0,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,5.140,4.380
1,9:43,2,9,ARI 9,6,0,"Patrick Mahomes pass complete short left to Travis Kelce for 9 yards, touchdown",4.380,7.000
1,9:37,,,ARI 15,7,0,Harrison Butker kicks extra point good,0.000,0.000
1,9:37,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,9:37,1,10,ARI 25,7,0,"Kyler Murray right end for -1 yards (tackle by Nick Bolton) Penalty on ARI: Illegal Shift, 5 yards (declined)",0.610,-0.070
1,9:16,2,11,ARI 24,7,0,Kyler Murray scrambles left end for 10 yards (tackle by Nick Bolton),-0.070,0.560
1,8:36,3,1,ARI 34,7,0,Kyler Murray sacked by L'Jarius Sneed for -7 yards,0.560,-1.570
1,8:00,4,8,ARI 27,7,0,"Andy Lee punts 52 yards, returned by Mecole Hardman for 3 yards (tackle by Stephen Anderson). Penalty on Deon Bush: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.570,0.280
1,7:43,1,10,KAN 14,7,0,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Zach Allen and Budda Baker),-0.280,-0.370
1,7:07,2,7,KAN 17,7,0,"Patrick Mahomes pass incomplete deep left intended for JuJu Smith-Schuster. Penalty on Zach Allen: Defensive Offside, 5 yards (declined) . Penalty on Zach Allen: Roughing the Passer, 15 yards (accepted) (no play)",-0.370,1.070
1,7:01,1,10,KAN 32,7,0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 25 yards (tackle by Zaven Collins),1.070,2.720
1,6:25,1,10,ARI 43,7,0,Marquez Valdes-Scantling left end for -3 yards (tackle by Zaven Collins),2.720,1.770
1,5:45,2,13,ARI 46,7,0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 20 yards (tackle by Jalen Thompson),1.770,3.840
