Unnamed: 0,IND,NWE
First Downs,28,22
Rush-Yds-TDs,20-71-0,34-168-2
Cmp-Att-Yd-TD-INT,38-52-396-4-3,19-25-186-2-0
Sacked-Yards,0-0,1-8
Net Pass Yards,396,178
Total Yards,467,346
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,6-48,1-15
Third Down Conv.,11-14,7-11
Fourth Down Conv.,0-0,0-0
Time of Possession,29:21,30:39
