Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Shayne Graham kicks off 63 yards, returned by Brandon James for 16 yards (tackle by Sergio Brown). Penalty on Gijon Robinson: Illegal Block Above the , 10 yards",0.000,-0.370
1,14:54,1,10,IND 11,0,0,Peyton Manning pass complete short middle to Austin Collie for 9 yards (tackle by Jerod Mayo and Gary Guyton),-0.370,0.360
1,14:12,2,1,IND 20,0,0,Donald Brown right guard for -2 yards (tackle by Ron Brace and Gerard Warren),0.360,-0.600
1,13:31,3,3,IND 18,0,0,Peyton Manning pass complete short left to Austin Collie for 4 yards (tackle by Patrick Chung),-0.600,0.410
1,12:54,1,10,IND 22,0,0,Donald Brown right tackle for no gain (tackle by Jermaine Cunningham),0.410,-0.130
1,12:19,2,10,IND 22,0,0,Peyton Manning pass complete short middle to Austin Collie for 28 yards (tackle by James Sanders and Brandon Meriweather),-0.130,2.260
1,11:31,1,10,,0,0,Donald Brown middle for 1 yard (tackle by Tully Banta-Cain and Ron Brace),2.260,1.850
1,10:58,2,9,NWE 49,0,0,Peyton Manning pass complete short middle to Jacob Tamme for 3 yards (tackle by Gary Guyton),1.850,1.550
1,10:15,3,6,NWE 46,0,0,Peyton Manning pass incomplete deep left intended for Blair White is intercepted by Brandon Meriweather at NWE-29 and returned for 39 yards,1.550,-3.450
1,10:02,1,10,IND 32,0,0,Tom Brady pass complete short middle to BenJarvus Green-Ellis for 4 yards (tackle by Pat Angerer),3.450,3.440
1,9:30,2,6,IND 28,0,0,BenJarvus Green-Ellis middle for 5 yards (tackle by Philip Wheeler and Pat Angerer),3.440,3.400
1,8:49,3,1,IND 23,0,0,Sammy Morris middle for 1 yard (tackle by Philip Wheeler),3.400,4.110
1,8:07,1,10,IND 22,0,6,"Tom Brady pass complete short middle to Wes Welker for 22 yards, touchdown",4.110,7.000
1,8:07,,,IND 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,8:00,,,NWE 30,0,7,"Shayne Graham kicks off 73 yards, returned by Brandon James for 27 yards (tackle by Pierre Woods). Penalty on Chip Vaughn: Offensive Holding, 10 yards",0.000,-0.320
1,7:54,1,10,IND 13,0,7,Peyton Manning pass incomplete short right intended for Pierre Garcon (defended by Devin McCourty),-0.320,-0.770
1,7:50,2,10,IND 13,0,7,Peyton Manning pass complete short right to Pierre Garcon for 15 yards (tackle by Devin McCourty and James Sanders). Penalty on Kyle Arrington: Defensive Holding (Declined),-0.770,0.810
1,7:36,1,10,IND 28,0,7,Donald Brown right guard for 1 yard (tackle by Gerard Warren and Gary Guyton),0.810,0.400
1,6:52,2,9,IND 29,0,7,Peyton Manning pass incomplete deep right intended for Pierre Garcon (defended by Jerod Mayo),0.400,-0.300
1,6:46,3,9,IND 29,0,7,Peyton Manning pass complete short right to Donald Brown for 7 yards (tackle by Gary Guyton and Jerod Mayo),-0.300,-0.980
1,6:08,4,2,IND 36,0,7,"Pat McAfee punts 46 yards, fair catch by Julian Edelman",-0.980,-0.040
1,6:01,1,10,NWE 18,0,7,"Tom Brady pass incomplete short right intended for Deion Branch. Penalty on Kelvin Hayden: Defensive Pass Interfere, 6 yards (no play)",0.040,0.540
1,5:58,1,10,NWE 24,0,7,BenJarvus Green-Ellis right guard for 5 yards (tackle by Antonio Johnson and Aaron Francisco),0.540,0.670
1,5:21,2,5,NWE 29,0,7,BenJarvus Green-Ellis middle for no gain (tackle by Daniel Muir),0.670,-0.030
1,4:41,3,5,NWE 29,0,7,Tom Brady pass complete short middle to Danny Woodhead for 9 yards (tackle by Tyjuan Hagler),-0.030,1.470
1,4:05,1,10,NWE 38,0,7,BenJarvus Green-Ellis left guard for 4 yards (tackle by Aaron Francisco and Kavell Conner),1.470,1.460
1,3:28,2,6,NWE 42,0,7,Tom Brady pass incomplete short right intended for Deion Branch,1.460,0.760
1,3:24,3,6,NWE 42,0,7,Tom Brady pass complete short right to Deion Branch for 8 yards (tackle by Kelvin Hayden),0.760,2.260
1,2:45,1,10,,0,7,Tom Brady pass complete deep left to Deion Branch for 18 yards (tackle by Antoine Bethea),2.260,3.450
1,2:05,1,10,IND 32,0,7,BenJarvus Green-Ellis middle for 2 yards (tackle by Aaron Francisco and Kavell Conner),3.450,3.170
1,1:26,2,8,IND 30,0,7,Tom Brady pass complete short middle to Wes Welker for 11 yards (tackle by Antoine Bethea),3.170,4.310
1,1:06,1,10,IND 19,0,7,BenJarvus Green-Ellis right end for 5 yards (tackle by Pat Angerer),4.310,4.530
1,0:29,2,5,IND 14,0,7,Danny Woodhead middle for 4 yards (tackle by Daniel Muir and Keyunta Dawson),4.530,4.690
Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,IND 10,0,7,Tom Brady pass complete short left to Wes Welker for 7 yards (tackle by Kavell Conner and Aaron Francisco),4.690,6.510
2,14:21,1,3,IND 3,0,7,Tom Brady pass complete short right to Danny Woodhead for no gain,6.510,5.530
2,13:44,2,3,IND 3,0,7,"Tom Brady for no gain. Tom Brady fumbles, recovered by Wes Welker at IND-8",5.530,3.580
2,13:20,3,8,IND 8,0,13,"Tom Brady pass complete short middle to Aaron Hernandez for 8 yards, touchdown",3.580,7.000
2,13:20,,,IND 2,0,14,Shayne Graham kicks extra point good,0.000,0.000
2,13:15,,,NWE 30,0,14,"Shayne Graham kicks off 59 yards, returned by Brandon James for 20 yards (tackle by Dane Fletcher)",0.000,1.000
2,13:09,1,10,IND 31,0,14,Peyton Manning pass incomplete short left intended for Reggie Wayne,1.000,0.460
2,13:03,2,10,IND 31,0,14,Peyton Manning pass incomplete deep middle intended for Austin Collie,0.460,-0.230
2,12:59,3,10,IND 31,0,14,Peyton Manning pass complete short right to Austin Collie for 14 yards (tackle by Brandon Meriweather),-0.230,1.930
2,12:23,1,10,IND 45,0,14,Donald Brown left end for no gain (tackle by Patrick Chung and Kyle Arrington),1.930,1.380
2,11:58,2,10,IND 45,0,14,Peyton Manning pass complete short left to Austin Collie for 5 yards (tackle by Jerod Mayo),1.380,1.360
2,11:11,3,5,,0,14,Peyton Manning pass complete short right to Pierre Garcon for 17 yards (tackle by Devin McCourty),1.360,3.380
2,10:31,1,10,NWE 33,0,14,Donald Brown middle for no gain (tackle by Vince Wilfork and Tully Banta-Cain),3.380,2.840
2,9:55,2,10,NWE 33,0,14,Peyton Manning pass complete deep left to Donald Brown for 25 yards (tackle by Brandon Meriweather),2.840,5.370
2,9:08,1,8,NWE 8,0,14,Donald Brown left tackle for 7 yards (tackle by James Sanders and Brandon Meriweather),5.370,5.910
2,8:24,2,1,NWE 1,0,14,Donald Brown left guard for no gain (tackle by Jermaine Cunningham and Vince Wilfork),5.910,5.170
2,7:57,3,1,NWE 1,6,14,"Peyton Manning pass complete short right to Gijon Robinson for 1 yard, touchdown",5.170,7.000
2,7:57,,,NWE 2,7,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,7:53,,,IND 30,7,14,"Pat McAfee kicks off 67 yards, returned by Brandon Tate for 32 yards (tackle by Cornelius Brown)",0.000,1.270
2,7:45,1,10,NWE 35,7,14,BenJarvus Green-Ellis middle for 6 yards (tackle by Pat Angerer and Antoine Bethea),1.270,1.530
2,7:06,2,4,NWE 41,7,14,Tom Brady pass complete deep left to Rob Gronkowski for 25 yards (tackle by Tyjuan Hagler and Kelvin Hayden),1.530,3.310
2,6:19,1,10,IND 34,7,14,Tom Brady pass complete deep left to Deion Branch for 16 yards (tackle by Jerraud Powers),3.310,4.370
2,5:47,1,10,IND 18,7,14,BenJarvus Green-Ellis middle for 7 yards (tackle by Pat Angerer and Antoine Bethea),4.370,5.010
2,5:01,2,3,IND 11,7,14,Tom Brady pass incomplete short left intended for Deion Branch,5.010,4.260
2,4:56,3,3,IND 11,7,14,Tom Brady pass complete short left to Danny Woodhead for 3 yards (tackle by Tyjuan Hagler),4.260,5.370
2,4:15,1,8,IND 8,7,14,BenJarvus Green-Ellis middle for 3 yards (tackle by Antonio Johnson and Robert Mathis),5.370,5.150
2,3:38,2,5,IND 5,7,20,"BenJarvus Green-Ellis left guard for 5 yards, touchdown",5.150,7.000
2,3:38,,,IND 2,7,21,Shayne Graham kicks extra point good,0.000,0.000
2,3:34,,,NWE 30,7,21,"Shayne Graham kicks off 62 yards, returned by Brandon James for 7 yards (tackle by Dane Fletcher)",0.000,-0.220
2,3:28,1,10,IND 15,7,21,Peyton Manning pass complete short left to Reggie Wayne for 12 yards (tackle by Kyle Arrington),-0.220,0.740
2,2:58,1,10,IND 27,7,21,Javarris James right guard for no gain (tackle by Brandon Spikes),0.740,0.200
2,2:21,2,10,IND 27,7,21,Peyton Manning pass complete short middle to Reggie Wayne for 9 yards (tackle by Jerod Mayo),0.200,0.700
2,2:00,3,1,IND 36,7,21,Javarris James middle for 2 yards (tackle by Jerod Mayo),0.700,1.470
2,1:27,1,10,IND 38,7,21,Peyton Manning pass complete short middle to Javarris James for 5 yards (tackle by Patrick Chung),1.470,1.600
2,1:04,2,5,IND 43,7,21,Peyton Manning pass complete short middle to Blair White for 6 yards (tackle by James Sanders),1.600,2.190
2,0:58,,,,7,21,Timeout #1 by Indianapolis Colts,0.000,2.190
2,0:58,1,10,IND 49,7,21,Peyton Manning pass incomplete short left intended for Jacob Tamme,2.190,1.650
2,0:54,2,10,IND 49,7,21,"Peyton Manning pass complete short middle to Javarris James for 5 yards (tackle by Jerod Mayo and Rob Ninkovich). Penalty on Jeff Saturday: Offensive Holding, 10 yards",1.650,0.970
2,0:43,2,15,IND 44,7,21,Peyton Manning pass complete deep left to Reggie Wayne for 17 yards (tackle by Kyle Arrington),0.970,2.980
2,0:35,,,,7,21,Timeout #2 by Indianapolis Colts,0.000,2.980
2,0:35,1,10,NWE 39,7,21,Peyton Manning pass complete short left to Reggie Wayne for 28 yards (tackle by Gary Guyton),2.980,4.840
2,0:10,1,10,NWE 11,7,21,Peyton Manning pass incomplete short middle intended for Jacob Tamme,4.840,4.140
2,0:09,,,,7,21,Timeout #1 by New England Patriots,0.000,4.140
2,0:08,2,10,NWE 11,13,21,"Peyton Manning pass complete short left to Reggie Wayne for 11 yards, touchdown",4.140,7.000
2,0:08,,,NWE 2,14,21,Adam Vinatieri kicks extra point good,0.000,0.000
2,0:04,,,IND 30,14,21,Pat McAfee kicks off 35 yards,0.000,1.270
2,0:02,1,10,NWE 35,14,21,Tom Brady kneels for -1 yards,1.270,0.590
Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
