Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 66 yards, returned by Tony Pollard for 54 yards (tackle by Caden Sterns)",,
1,14:51,1,10,DEN 47,0,0,Dak Prescott pass incomplete short left intended for Amari Cooper,,
1,14:45,2,10,DEN 47,0,0,Ezekiel Elliott up the middle for 4 yards (tackle by Shelby Harris),,
1,14:06,3,6,DEN 43,0,0,Dak Prescott pass complete short left to Amari Cooper for 5 yards (tackle by Kyle Fuller and Ronald Darby),,
1,13:41,4,1,DEN 38,0,0,Ezekiel Elliott right guard for -1 yards (tackle by Justin Simmons and Shelby Harris),,
1,13:34,1,10,DEN 39,0,0,Teddy Bridgewater sacked by Carlos Watkins for -8 yards,,
1,12:56,2,18,DEN 31,0,0,Melvin Gordon up the middle for -2 yards (tackle by Micah Parsons),,
1,12:15,3,20,DEN 29,0,0,Teddy Bridgewater pass incomplete short right intended for Albert Okwuegbunam,,
1,12:08,4,20,DEN 29,0,0,"Sam Martin punts 51 yards, recovered by Kelvin Joseph at DAL-15 and returned for 7 yards (tackle by Jacob Bobenmoyer)",,
1,11:55,1,10,DAL 22,0,0,Dak Prescott pass incomplete short left intended for Sean McKeon (defended by Patrick Surtain),,
1,11:50,2,10,DAL 22,0,0,Ezekiel Elliott right tackle for 5 yards (tackle by Patrick Surtain),,
1,11:16,3,5,DAL 27,0,0,"Dak Prescott pass incomplete deep left intended for Amari Cooper. Penalty on Stephen Weatherly: Defensive Offside, 5 yards (accepted) (no play)",,
1,11:09,1,10,DAL 32,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for no gain (tackle by Kenny Young and DeShawn Williams),,
1,10:28,2,10,DAL 32,0,0,Tony Pollard up the middle for 8 yards (tackle by Kareem Jackson),,
1,10:05,3,2,DAL 40,0,0,Dak Prescott pass complete short left to Amari Cooper for 32 yards (tackle by Kareem Jackson),,
1,9:30,1,10,DEN 28,0,0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,,
1,9:27,2,10,DEN 28,0,0,Ezekiel Elliott up the middle for 1 yard (tackle by Kenny Young),,
1,8:52,3,9,DEN 27,0,0,Dak Prescott scrambles right end for 7 yards (tackle by Caden Sterns),,
1,8:13,4,2,DEN 20,0,0,Dak Prescott pass incomplete short right intended for Cedrick Wilson,,
1,8:07,1,10,DEN 20,0,0,Teddy Bridgewater pass complete short right to Albert Okwuegbunam for -3 yards (tackle by Jourdan Lewis),,
1,7:35,2,13,DEN 17,0,0,Javonte Williams right tackle for 11 yards (tackle by Justin Hamilton),,
1,7:04,3,2,DEN 28,0,0,Javonte Williams right tackle for 20 yards (tackle by Jayron Kearse),,
1,6:27,1,10,DEN 48,0,0,Javonte Williams up the middle for -3 yards (tackle by Osa Odighizuwa),,
1,5:54,2,13,DEN 45,0,0,Teddy Bridgewater pass complete deep left to Jerry Jeudy for 25 yards (tackle by Jourdan Lewis),,
1,5:13,1,10,DAL 30,0,0,Javonte Williams right tackle for 7 yards (tackle by Jayron Kearse),,
1,4:38,2,3,DAL 23,0,0,Melvin Gordon up the middle for 13 yards (tackle by Chauncey Golston and Damontae Kazee),,
1,4:07,1,10,DAL 10,0,0,Melvin Gordon up the middle for 1 yard (tackle by Donovan Wilson and Leighton Vander Esch),,
1,3:29,2,9,DAL 9,0,0,"Penalty on Graham Glasgow: False Start, 5 yards (accepted) (no play)",,
1,3:17,2,14,DAL 14,0,0,Teddy Bridgewater pass complete short left to Jerry Jeudy for 5 yards (tackle by Micah Parsons),,
1,2:36,3,9,DAL 9,0,0,"Teddy Bridgewater pass incomplete short middle intended for Courtland Sutton. Penalty on Trevon Diggs: Defensive Pass Interference, 8 yards (accepted) (no play)",,
1,2:31,1,1,DAL 1,0,0,Melvin Gordon left end for -2 yards (tackle by Leighton Vander Esch and Luke Gifford),,
1,1:53,2,3,DAL 3,6,0,"Melvin Gordon for 3 yards, touchdown",,
1,1:48,,,DAL 15,6,0,Brandon McManus kicks extra point no good,,
1,1:48,,,DEN 35,6,0,"Brandon McManus kicks off 65 yards, touchback.",,
1,1:48,1,10,DAL 25,6,0,Ezekiel Elliott up the middle for 11 yards (tackle by Baron Browning and Patrick Surtain),,
1,1:19,1,10,DAL 36,6,0,Ezekiel Elliott up the middle for 7 yards (tackle by Jonathon Cooper),,
1,0:48,2,3,DAL 43,6,0,Tony Pollard right tackle for 2 yards (tackle by Shamar Stephen),,
1,0:10,3,1,DAL 45,6,0,Dak Prescott pass incomplete short right intended for Noah Brown,,
1,0:03,4,1,DAL 45,6,0,"Bryan Anger punts 55 yards, touchback.",,
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 20,6,0,Teddy Bridgewater pass complete short right to Albert Okwuegbunam for 8 yards (tackle by Donovan Wilson),,
2,14:20,2,2,DEN 28,6,0,Javonte Williams left tackle for 17 yards (tackle by Donovan Wilson),,
2,13:47,1,10,DEN 45,6,0,Teddy Bridgewater pass incomplete short left,,
2,13:39,2,10,DEN 45,6,0,Javonte Williams right tackle for no gain (tackle by Keanu Neal),,
2,12:57,3,10,DEN 45,6,0,Teddy Bridgewater pass complete short right to Tim Patrick for 11 yards,,
2,12:23,1,10,DAL 44,12,0,"Teddy Bridgewater pass complete deep left to Tim Patrick for 44 yards, touchdown",,
2,12:13,,,DAL 15,13,0,Brandon McManus kicks extra point good,,
2,12:13,,,DEN 35,13,0,"Brandon McManus kicks off 65 yards, touchback.",,
2,12:13,1,10,DAL 25,13,0,Dak Prescott pass complete short middle to Dalton Schultz for 17 yards (tackle by Baron Browning),,
2,11:41,1,10,DAL 42,13,0,Tony Pollard up the middle for 3 yards (tackle by Kenny Young and Jonathon Cooper),,
2,11:11,2,7,DAL 45,13,0,Dak Prescott pass incomplete short right intended for Tony Pollard,,
2,11:05,3,7,DAL 45,13,0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb,,
2,10:58,4,7,DAL 45,13,0,"Bryan Anger punts 55 yards, touchback.",,
2,10:48,1,10,DEN 20,13,0,"Melvin Gordon left tackle for no gain (tackle by Chauncey Golston). Penalty on Lloyd Cushenberry: Offensive Holding, 10 yards (accepted) (no play)",,
2,10:28,1,20,DEN 10,13,0,Teddy Bridgewater pass incomplete short middle,,
2,10:22,2,20,DEN 10,13,0,Melvin Gordon right end for 12 yards (tackle by Jourdan Lewis and Anthony Brown),,
2,9:34,3,8,DEN 22,13,0,Teddy Bridgewater pass complete short middle to Tim Patrick for 19 yards (tackle by Micah Parsons),,
2,8:55,1,10,DEN 41,13,0,Teddy Bridgewater pass complete short left to Melvin Gordon for 7 yards (tackle by Jourdan Lewis),,
2,8:08,2,3,DEN 48,13,0,Melvin Gordon up the middle for 2 yards (tackle by Quinton Bohanna and Dorance Armstrong),,
2,7:38,3,1,DEN 50,13,0,Melvin Gordon left end for 2 yards (tackle by Jayron Kearse and Trevon Diggs),,
2,6:58,1,10,DAL 48,13,0,Melvin Gordon right end for 11 yards (tackle by Keanu Neal),,
2,6:12,1,10,DAL 37,13,0,Melvin Gordon left tackle for 2 yards (tackle by Donovan Wilson),,
2,5:30,2,7,DAL 35,13,0,Teddy Bridgewater pass complete short right to Eric Saubert for 6 yards (tackle by Keanu Neal and Leighton Vander Esch),,
2,4:36,3,1,DAL 29,13,0,Teddy Bridgewater sacked by Micah Parsons for -6 yards,,
2,3:46,4,7,DAL 35,16,0,Brandon McManus 53 yard field goal good,,
2,3:41,,,DEN 35,16,0,"Brandon McManus kicks off 65 yards, touchback.",,
2,3:41,1,10,DAL 25,16,0,Tony Pollard left end for -2 yards (tackle by Kareem Jackson),,
2,3:05,2,12,DAL 23,16,0,Dak Prescott pass complete short right to Ezekiel Elliott for 21 yards (tackle by Patrick Surtain),,
2,2:25,1,10,DAL 44,16,0,Dak Prescott pass incomplete short middle intended for Dalton Schultz,,
2,2:20,2,10,DAL 44,16,0,Dak Prescott sacked by Jonathon Cooper for -11 yards,,
2,2:00,3,21,DAL 33,16,0,Dak Prescott pass incomplete deep left intended for Amari Cooper (defended by Justin Simmons),,
2,1:48,4,21,DAL 33,16,0,"Bryan Anger punts 46 yards, returned by Diontae Spencer for 1 yard (tackle by C.J. Goodwin). Penalty on Justin Strnad: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
2,1:39,1,10,DEN 12,16,0,Teddy Bridgewater pass complete short left to Courtland Sutton for 9 yards (tackle by Keanu Neal),,
2,1:10,2,1,DEN 21,16,0,Javonte Williams up the middle for 2 yards (tackle by Tarell Basham),,
2,0:36,1,10,DEN 23,16,0,Teddy Bridgewater pass complete short left to Albert Okwuegbunam for 17 yards (tackle by Trevon Diggs),,
2,0:27,,,,,,Timeout #1 by Denver Broncos,,
2,0:27,1,10,DEN 40,16,0,Teddy Bridgewater pass incomplete short left intended for Jerry Jeudy (defended by Jayron Kearse),,
2,0:21,2,10,DEN 40,16,0,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 6 yards (tackle by Jourdan Lewis),,
2,0:13,,,,,,Timeout #2 by Denver Broncos,,
2,0:13,3,5,DEN 45,16,0,"Teddy Bridgewater pass short right is intercepted by Jourdan Lewis at DAL-45 and returned for no gain (tackle by Tim Patrick). Penalty on Trevon Diggs: Defensive Holding, 5 yards (accepted) (no play)",,
2,0:03,,,,,,Timeout #3 by Denver Broncos,,
2,0:03,1,10,DAL 49,16,0,Teddy Bridgewater sacked by and Micah Parsons for -9 yards and Jourdan Lewis for -9 yards,,
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,16,0,"Greg Zuerlein kicks off 62 yards, returned by Diontae Spencer for 18 yards (tackle by Corey Clement)",,
3,14:55,1,10,DEN 21,16,0,Melvin Gordon right tackle for 2 yards (tackle by Leighton Vander Esch),,
3,14:17,2,8,DEN 23,16,0,Teddy Bridgewater pass complete short right to Albert Okwuegbunam for 3 yards (tackle by Leighton Vander Esch),,
3,13:31,3,6,DEN 26,16,0,Teddy Bridgewater sacked by Micah Parsons for -9 yards,,
3,12:43,4,14,DEN 17,16,0,"Sam Martin punts 2 yards, recovered by Jonas Griffith at DEN-19",,
3,12:43,1,10,DEN 19,16,0,Teddy Bridgewater pass incomplete deep middle intended for Courtland Sutton,,
3,12:31,2,10,DEN 19,16,0,Javonte Williams left tackle for 30 yards (tackle by Jayron Kearse),,
3,11:52,,,,,,Timeout #1 by Dallas Cowboys,,
3,11:52,1,10,DEN 49,16,0,Javonte Williams left tackle for 2 yards (tackle by Leighton Vander Esch and Justin Hamilton),,
3,11:14,2,8,DAL 49,16,0,Teddy Bridgewater pass incomplete short left,,
3,11:10,3,8,DAL 49,16,0,Teddy Bridgewater pass complete short right to Tim Patrick for 11 yards (tackle by Jourdan Lewis),,
3,10:23,1,10,DAL 38,16,0,Teddy Bridgewater pass complete short left to Jerry Jeudy for 20 yards (tackle by Leighton Vander Esch),,
3,9:43,1,10,DAL 18,16,0,Teddy Bridgewater pass incomplete deep left,,
3,9:36,2,10,DAL 18,16,0,Melvin Gordon right end for 1 yard (tackle by Micah Parsons and Tarell Basham),,
3,8:53,3,9,DAL 17,16,0,Teddy Bridgewater pass complete short right to Melvin Gordon for 8 yards (tackle by Micah Parsons),,
3,8:11,4,1,DAL 9,19,0,Brandon McManus 27 yard field goal good,,
