Quarter,Time,Tm,Detail,DEN,DAL
1.0,1:48,Broncos,Melvin Gordon 3 yard rush (Brandon McManus kick failed),6,0
2.0,12:13,Broncos,Tim Patrick 44 yard pass from Teddy Bridgewater (Brandon McManus kick),13,0
,3:41,Broncos,Brandon McManus 53 yard field goal,16,0
3.0,8:08,Broncos,Brandon McManus 27 yard field goal,19,0
4.0,11:18,Broncos,Teddy Bridgewater 1 yard rush (Courtland Sutton pass from Teddy Bridgewater),27,0
,6:32,Broncos,Brandon McManus 42 yard field goal,30,0
,4:08,Cowboys,Malik Turner 5 yard pass from Dak Prescott (Ezekiel Elliott run),30,8
,0:55,Cowboys,Malik Turner 4 yard pass from Dak Prescott (Dak Prescott run),30,16
