Unnamed: 0,DEN,DAL
First Downs,23,14
Rush-Yds-TDs,41-190-2,16-78-0
Cmp-Att-Yd-TD-INT,19-28-249-1-0,19-39-232-2-1
Sacked-Yards,4-32,2-20
Net Pass Yards,217,212
Total Yards,407,290
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,5-37,5-38
Third Down Conv.,8-15,5-13
Fourth Down Conv.,0-0,0-4
Time of Possession,41:12,18:48
