Unnamed: 0,ATL,MIN
First Downs,27,18
Rush-Yds-TDs,17-73-0,38-172-3
Cmp-Att-Yd-TD-INT,33-46-304-2-2,8-10-98-1-0
Sacked-Yards,4-32,1-1
Net Pass Yards,272,97
Total Yards,345,269
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,9-78,11-100
Third Down Conv.,2-8,5-10
Fourth Down Conv.,2-2,0-0
Time of Possession,30:13,29:47
