Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
1,7:03,3,5,ATL 30,0,14,"Penalty on Hercules Mata'afa: Neutral Zone Infraction, 5 yards (no play)",0.040,1.270
1,6:48,1,10,ATL 35,0,14,Matt Ryan pass incomplete short left,1.270,0.720
1,6:41,2,10,ATL 35,0,14,Matt Ryan pass complete short left to Justin Hardy for 5 yards (tackle by Trae Waynes),0.720,0.700
1,6:01,3,5,ATL 40,0,14,Matt Ryan pass complete short left to Julio Jones for 6 yards (tackle by Anthony Harris),0.700,1.990
1,5:19,1,10,ATL 46,0,14,Devonta Freeman left end for -1 yards (tackle by Xavier Rhodes),1.990,1.320
1,4:43,2,11,ATL 45,0,14,Matt Ryan pass complete short left to Justin Hardy for 23 yards (tackle by Anthony Harris and Xavier Rhodes),1.320,3.450
1,3:58,1,10,MIN 32,0,14,Russell Gage right end for -1 yards (tackle by Danielle Hunter),3.450,2.770
1,3:16,2,11,MIN 33,0,14,"Matt Ryan pass complete short left to Julio Jones for 2 yards (tackle by Mackensie Alexander). Penalty on Chris Lindstrom: Illegal Block Above the Waist, 10 yards",2.770,1.690
1,2:53,2,19,MIN 41,0,14,Matt Ryan pass incomplete deep right intended for Julio Jones,1.690,1.030
1,2:45,3,19,MIN 41,0,14,Matt Ryan pass incomplete deep left intended for Russell Gage (defended by Harrison Smith),1.030,0.530
1,2:38,4,19,MIN 41,0,14,"Matthew Bosher punts 33 yards, fair catch by Chad Beebe at MIN-8",0.530,0.380
1,2:31,1,10,MIN 8,0,14,Alexander Mattison up the middle for 3 yards (tackle by Vic Beasley),-0.380,-0.560
1,1:56,2,7,MIN 11,0,14,Kirk Cousins pass complete short right to Stefon Diggs for 6 yards (tackle by Takkarist McKinley),-0.560,-0.370
1,1:15,3,1,MIN 17,0,14,Dalvin Cook left guard for 2 yards (tackle by Tyeler Davison),-0.370,0.150
1,0:31,1,10,MIN 19,0,14,Alexander Mattison right end for 23 yards (tackle by De'Vondre Campbell),0.150,1.730
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 42,0,14,"Kirk Cousins pass complete short middle to Kyle Rudolph for 11 yards (tackle by Ricardo Allen). Penalty on Riley Reiff: Illegal Block Above the Waist, 10 yards (no play)",1.730,1.070
2,14:31,1,20,MIN 32,0,14,Alexander Mattison left guard for -4 yards (tackle by Grady Jarrett),1.070,-0.700
2,13:52,2,24,MIN 28,0,14,"Kirk Cousins aborted snap, recovered by Kirk Cousins at MIN-26 and returned for -2 yards",-0.700,-1.620
2,13:14,3,26,MIN 26,0,14,Ameer Abdullah left guard for 6 yards (tackle by Damontae Kazee),-1.620,-1.240
2,12:33,4,20,MIN 32,0,14,"Britton Colquitt punts 51 yards, returned by Kenjon Barner for 11 yards (tackle by Jayron Kearse and Eric Wilson)",-1.240,-0.810
2,12:22,1,10,ATL 28,0,14,Matt Ryan pass complete short middle to Mohamed Sanu for 14 yards (tackle by Harrison Smith),0.810,1.730
2,11:52,1,10,ATL 42,0,14,Matt Ryan pass complete deep left to Calvin Ridley for 20 yards (tackle by Harrison Smith),1.730,3.050
2,11:26,1,10,MIN 38,0,14,Matt Ryan right end for 12 yards (tackle by Eric Kendricks),3.050,3.840
2,10:44,1,10,MIN 26,0,14,"Matt Ryan pass complete short right to Devonta Freeman for 7 yards (tackle by Anthony Harris). Penalty on Anthony Barr: Defensive Offside, 5 yards (no play)",3.840,4.570
2,10:26,1,5,MIN 21,0,14,"Devonta Freeman left tackle for no gain (tackle by Trae Waynes). Devonta Freeman fumbles (forced by Trae Waynes), recovered by Anthony Harris at MIN-21 (tackle by Devonta Freeman)",4.570,-0.340
2,10:21,1,10,MIN 21,0,14,Dalvin Cook left tackle for 1 yard (tackle by Allen Bailey),0.340,-0.070
2,9:43,2,9,MIN 22,0,14,Dalvin Cook up the middle for no gain (tackle by Grady Jarrett and Allen Bailey),-0.070,-0.760
2,9:00,3,9,MIN 22,0,14,Kirk Cousins pass complete short right to Chad Beebe for 9 yards (tackle by Deion Jones),-0.760,1.000
2,8:23,1,10,MIN 31,0,14,"Kirk Cousins pass incomplete deep left intended for Adam Thielen. Penalty on Isaiah Oliver: Defensive Pass Interference, 15 yards (no play)",1.000,1.990
2,8:17,1,10,MIN 46,0,14,Kirk Cousins pass incomplete short left intended for Kyle Rudolph,1.990,1.450
2,8:10,2,10,MIN 46,0,14,Dalvin Cook up the middle for 3 yards (tackle by Adrian Clayborn and Jack Crawford),1.450,1.160
2,7:28,3,7,MIN 49,0,14,"Kirk Cousins pass incomplete short left intended for Stefon Diggs. Penalty on De'Vondre Campbell: Defensive Holding, 5 yards (no play)",1.160,2.520
2,7:22,1,10,ATL 46,0,14,Dalvin Cook left tackle for 6 yards (tackle by De'Vondre Campbell),2.520,2.790
2,6:41,2,4,ATL 40,0,14,Dalvin Cook right tackle for 22 yards (tackle by Ricardo Allen),2.790,4.370
2,5:59,1,10,ATL 18,0,14,Alexander Mattison left end for 17 yards (tackle by Ricardo Allen),4.370,6.970
2,5:18,,,,,,Timeout #1 by Atlanta Falcons,,
2,5:18,1,1,ATL 1,0,14,Dalvin Cook left tackle for no gain (tackle by Jack Crawford and De'Vondre Campbell),6.970,5.910
2,4:42,2,1,ATL 1,0,20,"Kirk Cousins up the middle for 1 yard, touchdown",5.910,7.000
2,4:40,,,ATL 15,0,20,"Penalty on Russell Gage: Neutral Zone Infraction, 5 yards",1.000,0.000
2,4:40,,,ATL 15,0,21,Dan Bailey kicks extra point good,0.000,0.000
2,4:40,,,MIN 40,0,21,"Dan Bailey kicks off 60 yards, touchback.",0.000,0.610
2,4:40,1,10,ATL 25,0,21,Ito Smith left end for 16 yards (tackle by Harrison Smith),0.610,1.660
2,4:11,1,10,ATL 41,0,21,Matt Ryan pass complete short right to Julio Jones for 10 yards (tackle by Anthony Harris),1.660,2.320
2,3:39,1,10,MIN 49,0,21,Matt Ryan pass complete short right to Ito Smith for 9 yards (tackle by Xavier Rhodes),2.320,3.000
2,3:09,2,1,MIN 40,0,21,Ito Smith left tackle for 2 yards (tackle by Danielle Hunter),3.000,3.050
2,2:35,1,10,MIN 38,0,21,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Eric Kendricks),3.050,2.510
2,2:31,2,10,MIN 38,0,21,Matt Ryan pass complete short left to Austin Hooper for 4 yards (tackle by Xavier Rhodes),2.510,2.340
2,2:00,3,6,MIN 34,0,21,"Matt Ryan pass complete short middle to Mohamed Sanu for 6 yards (tackle by Mackensie Alexander). Penalty on James Carpenter: Offensive Holding, 10 yards (no play)",2.340,1.030
2,1:55,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:54,3,16,MIN 44,0,21,Matt Ryan sacked by Danielle Hunter for -11 yards,1.030,-0.390
2,1:49,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:49,4,27,ATL 45,0,21,"Matthew Bosher punts 45 yards, fair catch by Chad Beebe at MIN-10",-0.390,0.380
2,1:43,1,10,MIN 10,0,21,Dalvin Cook up the middle for 2 yards (tackle by De'Vondre Campbell),-0.380,-0.630
2,1:39,,,,,,Timeout #2 by Atlanta Falcons,,
2,1:39,2,8,MIN 12,0,21,Dalvin Cook left tackle for -2 yards (tackle by Tyeler Davison),-0.630,-1.420
2,1:35,,,,,,Timeout #3 by Atlanta Falcons,,
2,1:35,3,10,MIN 10,0,21,Dalvin Cook right tackle for no gain (tackle by Deion Jones),-1.420,-2.490
2,0:49,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:49,4,10,MIN 10,0,21,"Britton Colquitt punts 57 yards, returned by Kenjon Barner for 12 yards (tackle by Kentrell Brothers)",-2.490,-1.930
2,0:37,1,10,ATL 45,0,21,Matt Ryan pass incomplete short left intended for Mohamed Sanu,1.930,1.380
2,0:33,2,10,ATL 45,0,21,Matt Ryan pass complete short middle to Russell Gage for 13 yards (tackle by Harrison Smith and Xavier Rhodes),1.380,2.790
2,0:06,1,10,MIN 42,0,21,Matt Ryan pass complete short middle to Mohamed Sanu for 23 yards (tackle by Jayron Kearse),2.790,1.270
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,0,21,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIN 25,0,21,Dalvin Cook left end for 3 yards (tackle by Tyeler Davison),0.610,0.470
3,14:24,2,7,MIN 28,0,21,"Kirk Cousins sacked by Grady Jarrett for -1 yards. Kirk Cousins fumbles (forced by Grady Jarrett), recovered by Garrett Bradbury at MIN-27 (tackle by Allen Bailey)",0.470,-0.360
3,13:37,3,8,MIN 27,0,21,Kirk Cousins pass complete short left to Adam Thielen for 12 yards (tackle by Isaiah Oliver),-0.360,1.530
3,13:10,1,10,MIN 39,0,21,Dalvin Cook up the middle for 2 yards (tackle by Takkarist McKinley and Jack Crawford),1.530,1.260
3,12:31,2,8,MIN 41,0,21,Dalvin Cook up the middle for 6 yards (tackle by De'Vondre Campbell),1.260,1.360
3,11:38,3,2,MIN 47,0,21,Dalvin Cook right tackle for 1 yard (tackle by Grady Jarrett),1.360,-0.190
3,10:56,4,1,MIN 48,0,21,"Britton Colquitt punts 42 yards, returned by Kenjon Barner for 5 yards (tackle by Kris Boyd)",-0.190,0.220
3,10:45,1,10,ATL 15,0,21,Matt Ryan pass complete short middle to Austin Hooper for 9 yards (tackle by Eric Kendricks),-0.220,0.620
3,10:09,2,1,ATL 24,0,21,Devonta Freeman right end for 5 yards (tackle by Eric Kendricks),0.620,0.870
3,9:39,1,10,ATL 29,0,21,Matt Ryan pass complete short right to Austin Hooper for 5 yards (tackle by Harrison Smith),0.870,1.000
3,8:58,2,5,ATL 34,0,21,Ito Smith up the middle for 3 yards (tackle by Harrison Smith and Linval Joseph),1.000,0.700
3,8:11,3,2,ATL 37,0,21,"Penalty on Shamar Stephen: Neutral Zone Infraction, 5 yards (no play)",0.700,1.730
3,7:56,1,10,ATL 42,0,21,Devonta Freeman up the middle for 2 yards (tackle by Danielle Hunter),1.730,1.460
3,7:23,2,8,ATL 44,0,21,Matt Ryan pass complete short left to Austin Hooper for 13 yards (tackle by Anthony Barr),1.460,2.720
3,6:49,1,10,MIN 43,0,21,Matt Ryan pass complete short left to Mohamed Sanu for 4 yards (tackle by Jayron Kearse),2.720,2.720
3,6:21,2,6,MIN 39,0,21,Ito Smith up the middle for 2 yards (tackle by Jaleel Johnson),2.720,2.280
3,5:41,3,4,MIN 37,0,21,Matt Ryan pass complete short right to Calvin Ridley for 8 yards (tackle by Jayron Kearse),2.280,3.640
3,5:13,1,10,MIN 29,0,21,Matt Ryan sacked by Everson Griffen for -5 yards,3.640,2.420
3,4:34,2,15,MIN 34,0,21,Matt Ryan pass complete short left to Mohamed Sanu for 6 yards (tackle by Eric Kendricks),2.420,2.540
3,3:55,3,9,MIN 28,0,21,"Matt Ryan pass incomplete deep right intended for Calvin Ridley (defended by Trae Waynes). Penalty on Trae Waynes: Defensive Pass Interference, 26 yards (no play)",2.540,6.740
3,3:49,1,2,MIN 2,0,21,Ito Smith up the middle for -1 yards (tackle by Linval Joseph),6.740,5.530
3,3:14,2,3,MIN 3,0,21,Matt Ryan pass short right intended for Luke Stocker is intercepted by Anthony Harris at MIN-0 and returned for no gain,5.530,-0.280
3,3:08,1,10,MIN 20,0,21,Kirk Cousins pass complete short left to Adam Thielen for 8 yards (tackle by Foyesade Oluokun),0.280,0.810
3,2:36,2,2,MIN 28,0,21,Dalvin Cook right tackle for 1 yard (tackle by Allen Bailey),0.810,0.230
3,1:53,3,1,MIN 29,0,21,Kirk Cousins up the middle for 2 yards (tackle by Grady Jarrett and Tyeler Davison),0.230,1.000
3,1:15,1,10,MIN 31,0,21,"Kirk Cousins pass complete deep right to Stefon Diggs for 31 yards (tackle by De'Vondre Campbell). Penalty on Ricardo Allen: Lowering the Head to Initiate Contact, 15 yards",1.000,4.040
3,0:53,1,10,ATL 23,0,21,"Dalvin Cook left end for 8 yards (tackle by Keanu Neal). Penalty on Keanu Neal: Lowering the Head to Initiate Contact, 8 yards",4.040,5.600
3,0:34,,,,,,Timeout #1 by Atlanta Falcons,,
3,0:34,1,7,ATL 7,0,27,"Dalvin Cook up the middle for 7 yards, touchdown",5.600,7.000
3,0:29,,,ATL 15,0,28,Dan Bailey kicks extra point good,0.000,0.000
3,0:29,,,MIN 35,0,28,"Dan Bailey kicks off 68 yards, returned by Kenjon Barner for 26 yards (tackle by Ben Gedeon)",0.000,0.480
3,0:25,1,10,ATL 23,0,28,Matt Ryan pass incomplete short middle intended for Calvin Ridley (defended by Jayron Kearse),0.480,-0.070
3,0:19,2,10,ATL 23,0,28,Matt Ryan pass incomplete short right intended for Devonta Freeman,-0.070,-0.760
3,0:08,3,10,ATL 23,0,28,Matt Ryan pass incomplete short left intended for Julio Jones (defended by Eric Kendricks),-0.760,-1.830
3,0:03,4,10,ATL 23,0,28,"Matthew Bosher punts 52 yards, fair catch by Chad Beebe at MIN-25",-1.830,-0.610
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 25,0,28,Alexander Mattison right tackle for 4 yards (tackle by Allen Bailey and De'Vondre Campbell),0.610,0.600
4,14:16,2,6,MIN 29,0,28,Alexander Mattison left end for -2 yards (tackle by Takkarist McKinley),0.600,-0.360
4,13:31,3,8,MIN 27,0,28,Ameer Abdullah up the middle for 2 yards (tackle by Jack Crawford),-0.360,-1.440
4,12:47,4,6,MIN 29,0,28,"Britton Colquitt punts 55 yards, returned by Kenjon Barner for 18 yards (tackle by Kentrell Brothers)",-1.440,-1.200
4,12:35,1,10,ATL 34,0,28,Matt Ryan pass complete short right to Austin Hooper for 13 yards (tackle by Harrison Smith),1.200,2.060
4,12:11,1,10,ATL 47,0,28,Matt Ryan pass complete short middle to Austin Hooper for 16 yards (tackle by Harrison Smith),2.060,3.120
4,11:46,1,10,MIN 37,0,28,Matt Ryan pass complete short right to Austin Hooper for 3 yards (tackle by Harrison Smith),3.120,2.980
4,11:12,2,7,MIN 34,0,28,Ito Smith left tackle for 9 yards (tackle by Shamar Stephen and Anthony Harris),2.980,3.910
4,10:42,1,10,MIN 25,0,28,Matt Ryan pass complete short right to Devonta Freeman for no gain (tackle by Anthony Barr),3.910,3.360
4,10:10,2,10,MIN 25,0,28,Matt Ryan pass complete short middle to Devonta Freeman for 5 yards (tackle by Anthony Barr),3.360,3.340
4,9:29,3,5,MIN 20,0,28,Matt Ryan pass incomplete short right intended for Justin Hardy (defended by Xavier Rhodes),3.340,2.170
4,9:25,4,5,MIN 20,6,28,"Matt Ryan pass complete deep left to Calvin Ridley for 20 yards, touchdown",2.170,7.000
4,9:19,,,MIN 2,6,28,"Two Point Attempt: Matt Ryan pass incomplete intended for Justin Hardy, conversion fails",1.000,-1.000
4,9:19,,,ATL 35,6,28,"Matthew Bosher kicks off 49 yards, returned by Chad Beebe for 13 yards (tackle by Ricardo Allen)",0.000,0.870
4,9:17,1,10,MIN 29,6,28,Dalvin Cook right guard for 2 yards (tackle by De'Vondre Campbell),0.870,0.600
4,8:32,2,8,MIN 31,6,28,Dalvin Cook right tackle for 7 yards (tackle by Foyesade Oluokun),0.600,0.830
4,7:42,,,,,,Timeout #2 by Minnesota Vikings,,
4,7:42,3,1,MIN 38,6,28,Kirk Cousins up the middle for 3 yards (tackle by Foyesade Oluokun and Tyeler Davison),0.830,1.660
4,6:59,1,10,MIN 41,6,28,Alexander Mattison left guard for no gain (tackle by Vic Beasley and Tyeler Davison),1.660,1.120
4,6:14,2,10,MIN 41,6,28,Alexander Mattison up the middle for no gain (tackle by Foyesade Oluokun),1.120,0.430
4,5:29,3,10,MIN 41,6,28,Alexander Mattison right guard for 8 yards (tackle by Ricardo Allen),0.430,-0.130
4,4:39,4,2,MIN 49,6,28,"Penalty on MIN: Delay of Game, 5 yards (no play)",-0.130,-0.460
4,4:39,4,7,MIN 44,6,28,"Britton Colquitt punts 42 yards downed by C.J. Ham. Penalty on Kris Boyd: Kick Catch Interference, 15 yards",-0.460,-0.870
4,4:28,1,10,ATL 29,6,28,"Penalty on Calvin Ridley: False Start, 5 yards (no play)",0.870,0.540
4,4:28,1,15,ATL 24,6,28,Matt Ryan pass complete short right to Devonta Freeman for 7 yards (tackle by Jayron Kearse),0.540,0.600
4,4:02,2,8,ATL 31,6,28,Matt Ryan pass complete short left to Justin Hardy for 10 yards (tackle by Xavier Rhodes),0.600,1.660
4,3:35,1,10,ATL 41,6,28,Matt Ryan pass complete short middle to Austin Hooper for 7 yards (tackle by Anthony Barr),1.660,2.070
4,3:09,2,3,ATL 48,6,28,Matt Ryan pass incomplete deep right intended for Calvin Ridley,2.070,1.360
4,3:04,3,3,ATL 48,6,28,"Matt Ryan pass incomplete short left intended for Austin Hooper. Penalty on Kris Boyd: Defensive Pass Interference, 9 yards (no play)",1.360,2.720
4,3:00,1,10,MIN 43,6,28,Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Harrison Smith),2.720,2.180
4,2:55,2,10,MIN 43,6,28,Matt Ryan pass complete short right to Austin Hooper for 7 yards (tackle by Kris Boyd),2.180,2.410
4,2:29,3,3,MIN 36,6,28,"Matt Ryan sacked by Everson Griffen for no gain. Penalty on Stephen Weatherly: Illegal Use of Hands, 5 yards (no play)",2.410,3.510
4,2:21,1,10,MIN 31,6,28,Matt Ryan pass complete short left to Julio Jones for 6 yards (tackle by Jayron Kearse),3.510,3.780
4,2:00,2,4,MIN 25,6,28,Matt Ryan sacked by Linval Joseph for -8 yards,3.780,2.020
4,1:52,,,,,,Timeout #2 by Atlanta Falcons,,
4,1:52,3,12,MIN 33,6,28,Matt Ryan pass complete short middle to Mohamed Sanu for 10 yards (tackle by Eric Wilson and Jayron Kearse),2.020,2.050
4,1:27,4,2,MIN 23,6,28,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by Jayron Kearse),2.050,4.370
4,1:19,,,,,,Timeout #3 by Atlanta Falcons,,
4,1:19,1,10,MIN 18,6,28,Matt Ryan pass complete short middle to Calvin Ridley for 16 yards (tackle by Anthony Harris). Penalty on Hercules Mata'afa: Illegal Use of Hands (Declined),4.370,6.740
4,1:09,1,2,MIN 2,12,28,"Matt Ryan pass complete short left to Julio Jones for 2 yards, touchdown",6.740,7.000
4,1:05,,,MIN 2,12,28,"Two Point Attempt: Matt Ryan pass complete to Julio Jones, conversion fails",1.000,-1.000
4,1:05,,,ATL 35,12,28,"Matthew Bosher kicks onside 9 yards, returned by C.J. Ham for no gain. Penalty on Matthew Bosher: Illegal Touch Kick, 5 yards",0.000,2.980
4,1:04,1,10,ATL 39,12,28,Kirk Cousins kneels for -1 yards,2.980,2.300
4,0:34,2,11,ATL 40,12,28,Kirk Cousins kneels for -1 yards,2.300,1.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
