Quarter,Time,Tm,Detail,ATL,MIN
1.0,11:50,Vikings,Adam Thielen 23 yard pass from Kirk Cousins (Dan Bailey kick),0,7
,8:22,Vikings,Dalvin Cook 19 yard rush (Dan Bailey kick),0,14
2.0,4:40,Vikings,Kirk Cousins 1 yard rush (Dan Bailey kick),0,21
3.0,0:29,Vikings,Dalvin Cook 7 yard rush (Dan Bailey kick),0,28
4.0,9:19,Falcons,Calvin Ridley 20 yard pass from Matt Ryan (pass failed),6,28
,1:05,Falcons,Julio Jones 2 yard pass from Matt Ryan (pass failed),12,28
