Unnamed: 0,NOR,SEA
First Downs,21,14
Rush-Yds-TDs,31-94-0,28-90-0
Cmp-Att-Yd-TD-INT,19-35-222-1-0,12-22-167-1-0
Sacked-Yards,2-12,5-38
Net Pass Yards,210,129
Total Yards,304,219
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,7-90,6-53
Third Down Conv.,2-13,3-12
Fourth Down Conv.,2-2,0-1
Time of Possession,32:49,27:11
