Quarter,Time,Tm,Detail,NOR,SEA
1.0,10:08,Seahawks,D.K. Metcalf 84 yard pass from Geno Smith (Jason Myers kick),0,7
2.0,4:23,Saints,Brian Johnson 21 yard field goal,3,7
,0:40,Saints,Alvin Kamara 13 yard pass from Jameis Winston (Brian Johnson kick),10,7
3.0,0:14,Seahawks,Jason Myers 50 yard field goal,10,10
4.0,1:56,Saints,Brian Johnson 33 yard field goal,13,10
