Quarter,Time,Tm,Detail,MIA,SDG
2.0,14:51,Chargers,Josh Lambo 45 yard field goal,0,3
,7:37,Chargers,Antonio Gates 11 yard pass from Philip Rivers (Josh Lambo kick),0,10
,2:50,Dolphins,Kenny Stills 39 yard pass from Ryan Tannehill (Andrew Franks kick),7,10
3.0,12:29,Dolphins,Damien Williams 2 yard rush (Andrew Franks kick),14,10
,5:36,Chargers,Hunter Henry 7 yard pass from Philip Rivers (Josh Lambo kick),14,17
,1:43,Dolphins,Damien Williams 18 yard pass from Ryan Tannehill (Andrew Franks kick),21,17
4.0,4:04,Chargers,Tyrell Williams 51 yard pass from Philip Rivers (Josh Lambo kick),21,24
,2:57,Dolphins,Andrew Franks 27 yard field goal,24,24
,1:01,Dolphins,Kiko Alonso 60 yard interception return (Andrew Franks kick),31,24
