Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SDG 25,0,0,Melvin Gordon right tackle for 2 yards (tackle by Byron Maxwell and Jordan Phillips),0.610,0.330
1,14:23,2,8,SDG 27,0,0,Melvin Gordon right tackle for 4 yards (tackle by Byron Maxwell),0.330,0.170
1,13:40,3,4,SDG 31,0,0,Philip Rivers pass complete short right to Dontrelle Inman for 6 yards (tackle by Byron Maxwell),0.170,1.400
1,13:02,1,10,SDG 37,0,0,Melvin Gordon right tackle for 1 yard (tackle by Mario Williams),1.400,0.990
1,12:22,2,9,SDG 38,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Bacarri Rambo),0.990,0.300
1,12:17,3,9,SDG 38,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,0.300,-0.850
1,12:11,4,9,SDG 38,0,0,"Drew Kaser punts 54 yards, returned by Jakeem Grant for 3 yards (tackle by Derek Watt). Penalty on Michael Thomas: Running Into the Kicker (Declined)",-0.850,0.370
1,12:00,1,10,MIA 11,0,0,Jay Ajayi left tackle for 3 yards (tackle by Korey Toomer and Joey Bosa),-0.370,-0.530
1,11:28,2,7,MIA 14,0,0,Ryan Tannehill pass complete short left to MarQueis Gray for 9 yards (tackle by Melvin Ingram),-0.530,0.480
1,10:58,1,10,MIA 23,0,0,Jay Ajayi left tackle for 5 yards (tackle by Melvin Ingram),0.480,0.610
1,10:23,2,5,MIA 28,0,0,Jay Ajayi middle for 8 yards (tackle by Melvin Ingram),0.610,1.330
1,9:48,1,10,MIA 36,0,0,Ryan Tannehill pass complete short left to DeVante Parker for 14 yards (tackle by Adrian Phillips),1.330,2.260
1,9:09,1,10,,0,0,Jay Ajayi middle for 1 yard (tackle by Tourek Williams and Kyle Emanuel),2.260,1.850
1,8:31,2,9,SDG 49,0,0,Ryan Tannehill pass complete short right to DeVante Parker for 10 yards (tackle by Dwight Lowery and Adrian Phillips),1.850,2.980
1,7:51,1,10,SDG 39,0,0,Ryan Tannehill pass complete short right to MarQueis Gray for 9 yards (tackle by Dwight Lowery),2.980,3.660
1,7:07,2,1,SDG 30,0,0,Jay Ajayi middle for -4 yards (tackle by Brandon Flowers),3.660,2.410
1,6:26,3,5,SDG 34,0,0,"Ryan Tannehill sacked by Melvin Ingram for -9 yards. Ryan Tannehill fumbles (forced by Melvin Ingram), recovered by Jermon Bushrod at SDG-43",2.410,0.400
1,5:44,4,14,SDG 43,0,0,Matt Darr punts 40 yards,0.400,0.380
1,5:34,1,10,SDG 3,0,0,"Penalty on Jordan Phillips: Encroachment, 5 yards (no play)",-0.380,-0.190
1,5:34,1,5,SDG 8,0,0,Melvin Gordon left tackle for 1 yard (tackle by Earl Mitchell and Michael Thomas),-0.190,-0.340
1,4:51,2,4,SDG 9,0,0,Philip Rivers pass incomplete short left intended for Dontrelle Inman,-0.340,-0.720
1,4:47,3,4,SDG 9,0,0,Philip Rivers pass incomplete deep left intended for Isaiah Burse,-0.720,-2.490
1,4:41,4,4,SDG 9,0,0,"Drew Kaser punts 55 yards, muffed catch by Jakeem Grant, recovered by Jakeem Grant and returned for no gain",-2.490,-1.470
1,4:30,1,10,MIA 38,0,0,Jay Ajayi left guard for 1 yard (tackle by Korey Toomer and Tourek Williams),1.470,1.060
1,3:50,2,9,MIA 39,0,0,Damien Williams middle for no gain (tackle by Korey Toomer and Corey Liuget),1.060,0.370
1,3:11,3,9,MIA 39,0,0,Ryan Tannehill pass incomplete deep left intended for Kenny Stills,0.370,-0.780
1,3:06,4,9,MIA 39,0,0,"Matt Darr punts 55 yards, returned by Isaiah Burse for 21 yards (tackle by Mike Hull)",-0.780,-0.740
1,2:54,1,10,SDG 27,0,0,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",0.740,0.410
1,2:54,1,15,SDG 22,0,0,Melvin Gordon right guard for 3 yards (tackle by Kiko Alonso),0.410,-0.070
1,2:18,2,12,SDG 25,0,0,Melvin Gordon left end for -1 yards (tackle by Earl Mitchell and Neville Hewitt),-0.070,-0.890
1,1:32,3,13,SDG 24,0,0,"Philip Rivers pass incomplete short middle intended for Dontrelle Inman. Penalty on Bobby McCain: Defensive Pass Interference, 12 yards, Penalty on Bobby McCain: Face Mask (15 Yards), 15 yards (no play)",-0.890,2.320
1,1:28,1,10,MIA 49,0,0,Melvin Gordon right end for 19 yards (tackle by Neville Hewitt),2.320,3.580
1,0:47,1,10,MIA 30,0,0,Melvin Gordon right end for no gain (tackle by Cameron Wake and Isa Abdul-Quddus),3.580,3.030
1,0:06,2,10,MIA 30,0,0,Melvin Gordon middle for 3 yards (tackle by Ndamukong Suh),3.030,2.740
Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,MIA 27,0,0,Philip Rivers pass incomplete deep right intended for Tyrell Williams,2.740,1.670
2,14:55,4,7,MIA 27,0,3,Josh Lambo 45 yard field goal good,1.670,3.000
2,14:51,,,SDG 35,0,3,"Josh Lambo kicks off 71 yards, returned by Jakeem Grant for 23 yards (tackle by Dexter McCoil)",0.000,0.060
2,14:46,1,10,MIA 17,0,3,Ryan Tannehill pass complete short left to Jarvis Landry for -2 yards (tackle by Casey Hayward),-0.060,-0.850
2,14:05,2,12,MIA 15,0,3,Jay Ajayi right guard for 3 yards (tackle by Korey Toomer),-0.850,-1.130
2,13:21,3,9,MIA 18,0,3,Ryan Tannehill pass complete short left to Jarvis Landry for 8 yards (tackle by Craig Mager and Brandon Flowers),-1.130,-1.630
2,12:42,4,1,MIA 26,0,3,"Matt Darr punts 57 yards, returned by Isaiah Burse for 3 yards (tackle by Michael Thomas)",-1.630,-0.280
2,12:30,1,10,SDG 20,0,3,Philip Rivers pass complete short left to Sean McGrath for 12 yards (tackle by Tony Lippett),0.280,1.070
2,11:48,1,10,SDG 32,0,3,Melvin Gordon right end for -4 yards (tackle by Kiko Alonso),1.070,-0.010
2,11:07,2,14,SDG 28,0,3,Philip Rivers pass incomplete short middle intended for Dontrelle Inman (defended by Ndamukong Suh),-0.010,-0.690
2,11:03,3,14,SDG 28,0,3,Philip Rivers pass complete short right to Melvin Gordon for 15 yards (tackle by Andre Branch),-0.690,1.800
2,10:26,1,10,SDG 43,0,3,Philip Rivers pass complete short left to Dontrelle Inman for 12 yards (tackle by Jason Jones),1.800,2.590
2,9:50,1,10,MIA 45,0,3,Philip Rivers pass complete deep right to Tyrell Williams for 16 yards (tackle by Bobby McCain),2.590,3.640
2,9:06,1,10,MIA 29,0,3,Melvin Gordon right end for -1 yards (tackle by Leon Orr and Jelani Jenkins),3.640,2.970
2,8:27,2,11,MIA 30,0,3,Philip Rivers pass complete deep right to Antonio Gates for 19 yards (tackle by Isa Abdul-Quddus),2.970,4.840
2,7:42,1,10,MIA 11,0,9,"Philip Rivers pass complete short middle to Antonio Gates for 11 yards, touchdown",4.840,7.000
2,7:37,,,MIA 15,0,10,Josh Lambo kicks extra point good,0.000,0.000
2,7:37,,,SDG 35,0,10,"Josh Lambo kicks off 70 yards, returned by Jakeem Grant for 31 yards (tackle by Dexter McCoil)",0.000,-0.670
2,7:31,1,10,MIA 26,0,10,Jay Ajayi right end for 3 yards (tackle by Brandon Mebane),0.670,0.540
2,6:51,2,7,MIA 29,0,10,Ryan Tannehill pass incomplete short right intended for Dominique Jones (defended by Korey Toomer),0.540,-0.160
2,6:47,3,7,MIA 29,0,10,Ryan Tannehill pass complete short right to Kenny Stills for 8 yards (tackle by Dexter McCoil). Penalty on Melvin Ingram: Defensive Offside (Declined),-0.160,1.400
2,6:24,1,10,MIA 37,0,10,Jay Ajayi right end for -3 yards (tackle by Korey Toomer),1.400,0.450
2,5:40,2,13,MIA 34,0,10,Ryan Tannehill pass complete short middle to DeVante Parker for 14 yards (tackle by Craig Mager),0.450,2.130
2,4:57,1,10,MIA 48,0,10,Ryan Tannehill pass complete short left to DeVante Parker for 9 yards (tackle by Craig Mager),2.130,2.800
