Unnamed: 0,SEA,OAK
First Downs,14,27
Rush-Yds-TDs,16-43-0,40-221-2
Cmp-Att-Yd-TD-INT,23-32-155-2-0,19-28-214-2-1
Sacked-Yards,3-12,2-12
Net Pass Yards,143,202
Total Yards,186,423
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,13-105,5-45
Third Down Conv.,1-11,7-12
Fourth Down Conv.,2-2,1-1
Time of Possession,25:09,34:51
