Quarter,Time,Tm,Detail,SEA,OAK
1.0,10:47,Raiders,Tim Brown 8 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
,6:53,Seahawks,Itula Mili 1 yard pass from Matt Hasselbeck (Rian Lindell kick),7,7
2.0,13:51,Raiders,Charlie Garner 20 yard rush (Sebastian Janikowski kick),7,14
,9:38,Raiders,Charlie Garner 26 yard pass from Rich Gannon (Sebastian Janikowski kick),7,21
,3:17,Raiders,Randy Jordan 12 yard rush (Sebastian Janikowski kick),7,28
3.0,9:02,Raiders,Sebastian Janikowski 27 yard field goal,7,31
4.0,14:57,Seahawks,Rian Lindell 32 yard field goal,10,31
,5:44,Seahawks,Shaun Alexander 11 yard pass from Matt Hasselbeck (Rian Lindell kick),17,31
