Quarter,Time,Tm,Detail,BAL,PIT
1.0,5:43,Steelers,Hines Ward 23 yard pass from Tommy Maddox (Jeff Reed kick),0,7
,4:32,Ravens,Alan Ricard offensive fumble recovery in end zone (Matt Stover kick),7,7
2.0,14:56,Steelers,Jeff Reed 23 yard field goal,7,10
,6:48,Steelers,Amos Zereoue 1 yard rush (Jeff Reed kick),7,17
,5:33,Ravens,Alan Ricard 6 yard rush (Matt Stover kick),14,17
,0:00,Steelers,Jeff Reed 48 yard field goal,14,20
3.0,9:25,Ravens,Matt Stover 43 yard field goal,17,20
,7:07,Ravens,Todd Heap 31 yard pass from Jeff Blake (Matt Stover kick),24,20
4.0,12:57,Ravens,Chester Taylor 20 yard pass from Jeff Blake (Matt Stover kick),31,20
,7:51,Steelers,Amos Zereoue 5 yard rush,31,26
,2:29,Steelers,Antwaan Randle El 8 yard pass from Tommy Maddox (Plaxico Burress pass from Tommy Maddox),31,34
