Unnamed: 0,CIN,NYJ
First Downs,19,24
Rush-Yds-TDs,28-113-1,34-219-1
Cmp-Att-Yd-TD-INT,18-27-248-2-1,20-27-224-2-0
Sacked-Yards,1-10,1-5
Net Pass Yards,238,219
Total Yards,351,438
Fumbles-Lost,1-1,3-1
Turnovers,2,1
Penalties-Yards,6-49,1-7
Third Down Conv.,8-12,8-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:13,30:47
