Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 66 yards, returned by Jonathan Carter for 17 yards. Jonathan Carter fumbles, recovered by Reggie Myles at NYJ-25",0.000,-3.910
1,14:52,1,10,NYJ 25,0,0,Carson Palmer pass complete to Chad Ochocinco for 6 yards (tackle by Reggie Tongue),3.910,4.200
1,14:19,2,4,NYJ 19,0,0,Rudi Johnson right guard for no gain (tackle by Sam Cowart),4.200,3.490
1,13:15,3,4,NYJ 19,0,0,Carson Palmer pass complete to Peter Warrick for 10 yards (tackle by Erik Coleman),3.490,5.140
1,12:42,1,9,NYJ 9,6,0,"Rudi Johnson left guard for 9 yards, touchdown",5.140,7.000
1,,,,NYJ 2,7,0,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,7,0,"Shayne Graham kicks off 63 yards, returned by Jonathan Carter for 25 yards (tackle by Madieu Williams)",0.000,1.070
1,12:30,1,10,NYJ 32,7,0,Curtis Martin right end for 5 yards (tackle by Madieu Williams and Kim Herring),1.070,1.200
1,11:54,2,5,NYJ 37,7,0,Chad Pennington pass complete to Justin McCareins for 12 yards (tackle by Madieu Williams),1.200,2.190
1,11:15,1,10,NYJ 49,7,0,Curtis Martin up the middle for 2 yards (tackle by Tony Williams and Caleb Miller),2.190,1.920
1,10:37,2,8,CIN 49,7,0,Chad Pennington pass incomplete intended for Chris Baker,1.920,1.220
1,10:31,3,8,CIN 49,7,0,"Chad Pennington pass complete to Santana Moss for 31 yards (tackle by Madieu Williams). Penalty on Justin Smith: Roughing the Passer, 9 yards",1.220,5.140
1,10:08,1,9,CIN 9,7,0,Curtis Martin right end for 5 yards (tackle by Nate Webster),5.140,5.340
1,9:36,2,4,CIN 4,7,0,Curtis Martin right end for 1 yard (tackle by Kim Herring),5.340,4.720
1,8:53,3,3,CIN 3,7,6,"Chad Pennington pass complete to Curtis Martin for 3 yards, touchdown",4.720,7.000
1,,,,CIN 2,7,7,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,7,"Toby Gowin kicks off 68 yards, returned by T.J. Houshmandzadeh for 32 yards (tackle by B.J. Askew)",0.000,1.200
1,8:41,1,10,CIN 34,7,7,Carson Palmer pass complete to Jeremi Johnson for 8 yards (tackle by Eric Barton),1.200,1.740
1,8:08,2,2,CIN 42,7,7,"Rudi Johnson up the middle for no gain (tackle by Erik Coleman and Reggie Tongue). Penalty on Bobbie Williams: Offensive Holding, 10 yards (no play)",1.740,0.390
1,7:46,2,12,CIN 32,7,7,Carson Palmer pass incomplete intended for Chad Ochocinco (defended by David Barrett),0.390,-0.300
1,7:40,3,12,CIN 32,7,7,"Carson Palmer pass complete to Chad Ochocinco for 43 yards (tackle by Erik Coleman). Penalty on Shaun Ellis: Defensive Offside (Offsetting), Penalty on Willie Anderson: Offensive Holding (Offsetting) (no play)",-0.300,-0.300
1,7:12,3,12,CIN 32,7,7,Carson Palmer pass complete to Kenny Watson for 9 yards (tackle by Sam Cowart),-0.300,-0.650
1,6:35,4,3,CIN 41,7,7,"Kyle Larson punts 51 yards, returned by Santana Moss for 6 yards (tackle by Reggie Myles)",-0.650,0.280
1,6:24,1,10,NYJ 14,7,7,Chad Pennington pass complete to Jerald Sowell for 8 yards (tackle by John Thornton),-0.280,0.420
1,5:47,2,2,NYJ 22,7,7,Curtis Martin left guard for 21 yards (tackle by Tory James),0.420,1.800
1,5:14,1,10,NYJ 43,7,7,Santana Moss right end for 8 yards (tackle by Landon Johnson),1.800,2.330
1,4:44,2,2,CIN 49,7,7,Curtis Martin right tackle for 1 yard (tackle by Carl Powell and Nate Webster),2.330,1.750
1,4:03,3,1,CIN 48,7,7,Curtis Martin up the middle for 2 yards (tackle by Landon Johnson and Carl Powell),1.750,2.520
1,3:17,1,10,CIN 46,7,13,"Chad Pennington pass complete to Jonathan Carter for 46 yards, touchdown",2.520,7.000
1,,,,CIN 2,7,14,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,14,"Toby Gowin kicks off 65 yards, returned by T.J. Houshmandzadeh for 25 yards (tackle by Erik Coleman)",0.000,0.940
1,3:01,1,10,CIN 30,7,14,Carson Palmer pass complete to Chad Ochocinco for 15 yards,0.940,1.930
1,2:37,1,10,CIN 45,7,14,Carson Palmer pass incomplete intended for Tony Stewart,1.930,1.380
1,2:33,2,10,CIN 45,7,14,Rudi Johnson right end for -6 yards (tackle by Dewayne Robertson),1.380,-0.100
