Unnamed: 0,NOR,JAX
First Downs,20,22
Rush-Yds-TDs,25-61-0,45-243-1
Cmp-Att-Yd-TD-INT,22-38-296-2-0,9-17-131-1-2
Sacked-Yards,1-7,1-0
Net Pass Yards,289,131
Total Yards,350,374
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,4-30,7-69
Third Down Conv.,6-13,6-13
Fourth Down Conv.,0-2,1-2
Time of Possession,27:57,32:03
