Quarter,Time,Tm,Detail,PHI,SFO
1.0,13:19,Eagles,Brian Westbrook 4 yard pass from Donovan McNabb (David Akers kick),7,0
,3:37,Eagles,L.J. Smith 1 yard pass from Donovan McNabb (David Akers kick),14,0
2.0,7:45,49ers,Joe Nedney 48 yard field goal,14,3
,6:53,Eagles,Brian Westbrook 71 yard rush (David Akers kick),21,3
,2:49,Eagles,David Akers 21 yard field goal,24,3
3.0,5:57,Eagles,Mike Patterson 98 yard defensive fumble return (David Akers kick),31,3
,4:01,49ers,Michael Robinson 1 yard rush (Joe Nedney kick),31,10
4.0,14:57,49ers,Michael Robinson 1 yard rush (Joe Nedney kick),31,17
,12:32,Eagles,Brian Westbrook 8 yard rush (David Akers kick),38,17
,0:06,49ers,Eric Johnson 15 yard pass from Alex Smith (Joe Nedney kick),38,24
