Unnamed: 0,PHI,SFO
First Downs,16,23
Rush-Yds-TDs,18-150-2,28-123-2
Cmp-Att-Yd-TD-INT,18-33-296-2-0,27-46-293-1-0
Sacked-Yards,3-30,3-24
Net Pass Yards,266,269
Total Yards,416,392
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,9-72,8-64
Third Down Conv.,5-12,7-18
Fourth Down Conv.,0-0,1-1
Time of Possession,24:39,35:21
