Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,Joe Nedney kicks off 56 yards,0.000,1.600
1,15:00,1,10,PHI 40,0,0,Donovan McNabb pass complete deep middle to Reggie Brown for 50 yards (tackle by Tony Parrish),1.600,4.910
1,14:14,1,10,SFO 10,0,0,Donovan McNabb pass incomplete short right intended for Thomas Tapeh,4.910,4.190
1,14:07,2,10,SFO 10,0,0,Donovan McNabb pass complete short right to L.J. Smith for 6 yards (tackle by Tony Parrish),4.190,4.490
1,13:23,3,4,SFO 4,6,0,"Donovan McNabb pass complete short middle to Brian Westbrook for 4 yards, touchdown",4.490,7.000
1,,,,SFO 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 67 yards, returned by Maurice Hicks for 17 yards (tackle by Quintin Mikell)",0.000,0.280
1,13:13,1,10,SFO 20,7,0,Alex Smith pass complete short right to Frank Gore for 4 yards (tackle by Dhani Jones and Roderick Hood),0.280,0.270
1,12:36,2,6,SFO 24,7,0,Frank Gore left guard for 1 yard (tackle by Trent Cole),0.270,-0.300
1,11:55,3,5,SFO 25,7,0,Alex Smith pass complete short middle to Frank Gore for 4 yards (tackle by Jeremiah Trotter),-0.300,-1.440
1,11:14,4,1,SFO 29,7,0,"Andy Lee punts 42 yards, returned by Reno Mahe for 8 yards (tackle by Michael Robinson)",-1.440,-1.400
1,11:02,1,10,PHI 37,7,0,Brian Westbrook left tackle for 3 yards (tackle by Marques Douglas),1.400,1.260
1,10:25,2,7,PHI 40,7,0,Correll Buckhalter left tackle for 5 yards (tackle by Shawntae Spencer),1.260,1.220
1,9:42,3,2,PHI 45,7,0,Donovan McNabb pass incomplete short right intended for Brian Westbrook,1.220,-0.390
1,9:37,4,2,PHI 45,7,0,Dirk Johnson punts 35 yards,-0.390,-0.280
1,9:26,1,10,SFO 20,7,0,Alex Smith pass incomplete short middle intended for Vernon Davis,0.280,-0.270
1,9:22,2,10,SFO 20,7,0,Frank Gore middle for 3 yards (tackle by Jeremiah Trotter),-0.270,-0.560
1,8:39,3,7,SFO 23,7,0,Alex Smith pass incomplete short right intended for Antonio Bryant,-0.560,-1.830
1,8:30,4,7,SFO 23,7,0,"Andy Lee punts 57 yards, returned by Reno Mahe for 23 yards (tackle by Billy Bajema)",-1.830,-1.800
1,8:17,1,10,PHI 43,7,0,Brian Westbrook middle for 9 yards (tackle by Mark Roman),1.800,2.470
1,7:38,2,1,SFO 48,7,0,Donovan McNabb pass complete short middle to Brian Westbrook for 8 yards (tackle by Derek Smith),2.470,2.920
1,6:56,1,10,SFO 40,7,0,Donovan McNabb pass complete to Reggie Brown for 7 yards (tackle by Jeff Ulbrich),2.920,3.320
1,6:19,2,3,SFO 33,7,0,Correll Buckhalter right end for 2 yards (tackle by Mike Adams and Walt Harris),3.320,2.870
1,5:37,3,1,SFO 31,7,0,Donovan McNabb middle for 3 yards (tackle by Damane Duckett),2.870,3.710
1,4:58,1,10,SFO 28,7,0,Donovan McNabb pass complete deep right to Reggie Brown for 24 yards (tackle by Shawntae Spencer),3.710,6.280
1,4:24,1,4,SFO 4,7,0,Brian Westbrook middle for 3 yards (tackle by Damane Duckett),6.280,5.910
1,3:42,2,1,SFO 1,13,0,"Donovan McNabb pass complete short middle to L.J. Smith for 1 yard, touchdown",5.910,7.000
1,,,,SFO 2,14,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,14,0,"David Akers kicks off 60 yards, returned by Maurice Hicks for 18 yards (tackle by Sean Considine). Penalty on T.J. Slaughter: Unnecessary Roughness, 14 yards",0.000,-0.280
1,3:29,1,10,SFO 14,14,0,Alex Smith pass incomplete deep middle intended for Vernon Davis,-0.280,-0.750
1,3:24,2,10,SFO 14,14,0,Alex Smith pass incomplete short middle intended for Frank Gore (defended by Juqua Parker),-0.750,-1.400
1,3:20,3,10,SFO 14,14,0,Alex Smith pass incomplete short middle intended for Antonio Bryant,-1.400,-2.470
1,3:16,4,10,SFO 14,14,0,"Andy Lee punts 55 yards, fair catch by Reno Mahe",-2.470,-1.000
1,3:08,1,10,PHI 31,14,0,Donovan McNabb pass complete short right to Brian Westbrook for 8 yards (tackle by Shawntae Spencer),1.000,1.540
1,2:28,2,2,PHI 39,14,0,"Penalty on Donovan McNabb: Delay of Game, 5 yards (no play)",1.540,0.870
1,2:04,2,7,PHI 34,14,0,Donovan McNabb pass complete short right to Brian Westbrook for 27 yards (tackle by Mark Roman),0.870,2.980
1,1:28,1,10,SFO 39,14,0,Donovan McNabb pass incomplete short right intended for Thomas Tapeh,2.980,2.440
1,1:21,2,10,SFO 39,14,0,Donovan McNabb sacked by Chad Williams and Isaac Sopoaga for -9 yards,2.440,0.560
1,0:46,3,19,SFO 48,14,0,Donovan McNabb pass complete short right to Reggie Brown for 20 yards (tackle by Jeff Ulbrich),0.560,3.710
1,0:12,1,10,SFO 28,14,0,"Donovan McNabb pass incomplete intended for Reggie Brown. Penalty on PHI: Unnecessary Roughness, 15 yards (no play)",3.710,2.720
Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,25,SFO 43,14,0,Donovan McNabb pass incomplete short middle intended for Brian Westbrook,2.720,1.140
2,14:56,2,25,SFO 43,14,0,Donovan McNabb pass complete short left to Hank Baskett for 8 yards (tackle by Sammy Davis and Walt Harris),1.140,1.550
