Unnamed: 0,HOU,JAX
First Downs,24,26
Rush-Yds-TDs,31-95-0,21-83-0
Cmp-Att-Yd-TD-INT,24-36-293-3-0,30-53-331-3-3
Sacked-Yards,1-6,3-20
Net Pass Yards,287,311
Total Yards,382,394
Fumbles-Lost,1-0,1-0
Turnovers,0,3
Penalties-Yards,10-69,7-64
Third Down Conv.,7-14,5-15
Fourth Down Conv.,1-2,2-2
Time of Possession,30:02,29:58
