Player,Pos
Gus Frerotte,QB
Adrian Peterson,HB
Naufahu Tahi,FB
Bernard Berrian,WR
Bobby Wade,WR
Jim Kleinsasser,TE
Bryant McKinnie,LT
Steve Hutchinson,LG
Matt Birk,C
Anthony Herrera,RG
Ryan Cook,RT
Ray Edwards,LDE
Kevin Williams,UT
Pat Williams,NT
Jared Allen,RDE
Chad Greenway,SLB
Napoleon Harris,MLB
Ben Leber,WLB
Antoine Winfield,LCB
Cedric Griffin,RCB
Darren Sharper,SS
Madieu Williams,FS
