Unnamed: 0,HOU,MIN
First Downs,20,15
Rush-Yds-TDs,16-62-0,35-177-1
Cmp-Att-Yd-TD-INT,32-45-363-2-2,11-18-182-3-1
Sacked-Yards,5-36,3-14
Net Pass Yards,327,168
Total Yards,389,345
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,5-35,3-20
Third Down Conv.,7-14,6-13
Fourth Down Conv.,1-2,1-1
Time of Possession,32:22,27:38
