Quarter,Time,Tm,Detail,HOU,MIN
1.0,12:48,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),0,7
,8:38,Texans,Jacques Reeves 44 yard interception return (Kris Brown kick),7,7
2.0,14:07,Vikings,Sidney Rice 8 yard pass from Gus Frerotte (Ryan Longwell kick),7,14
,6:09,Vikings,Bernard Berrian 49 yard pass from Gus Frerotte (Ryan Longwell kick),7,21
3.0,9:28,Texans,David Anderson 3 yard pass from Sage Rosenfels (Kris Brown kick),14,21
4.0,6:26,Vikings,Visanthe Shiancoe 25 yard pass from Gus Frerotte (Ryan Longwell kick),14,28
,2:58,Texans,Andre Johnson 14 yard pass from Sage Rosenfels (Kris Brown kick),21,28
