Quarter,Time,Down,ToGo,Location,DET,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Joique Bell left tackle for 1 yard (tackle by Corey Liuget and Kyle Emanuel),0.280,-0.130
1,14:25,2,9,DET 21,0,0,Matthew Stafford pass complete short right to Golden Tate for 11 yards (tackle by Brandon Flowers),-0.130,1.070
1,13:49,1,10,DET 32,0,0,Joique Bell middle for 7 yards (tackle by Jahleel Addae and Manti Te'o),1.070,1.470
1,13:11,2,3,DET 39,0,0,Matthew Stafford pass complete short right to Ameer Abdullah for no gain,1.470,0.760
1,12:26,3,3,DET 39,0,0,Matthew Stafford pass complete short middle to Calvin Johnson for 28 yards (tackle by Jahleel Addae),0.760,3.380
1,11:43,1,10,SDG 33,0,0,Matthew Stafford pass incomplete deep left intended for Lance Moore,3.380,2.840
1,11:39,2,10,SDG 33,0,0,Matthew Stafford pass complete short right to Joique Bell for 9 yards (tackle by Eric Weddle),2.840,3.340
1,10:53,3,1,SDG 24,6,0,"Ameer Abdullah middle for 24 yards, touchdown",3.340,7.000
1,10:53,,,SDG 24,7,0,Matt Prater kicks extra point good,0.000,0.000
1,10:53,,,DET 35,7,0,"Sam Martin kicks off 70 yards, returned by Jacoby Jones for 24 yards (tackle by Don Carey)",0.000,-0.150
1,10:41,1,10,SDG 19,7,0,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Rashean Mathis),0.150,0.340
1,10:06,2,5,SDG 24,7,0,Melvin Gordon middle for -2 yards (tackle by Ezekiel Ansah),0.340,-0.680
1,9:23,3,7,SDG 22,7,0,Philip Rivers sacked by Phillip Hunt for -7 yards,-0.680,-2.440
1,8:42,4,14,SDG 15,7,0,"Mike Scifres punts 58 yards, returned by Golden Tate for 20 yards (tackle by Ladarius Green)",-2.440,-2.060
1,8:28,1,10,DET 47,7,0,Matthew Stafford pass incomplete short left intended for Calvin Johnson,2.060,1.520
1,8:23,2,10,DET 47,7,0,Zach Zenner left tackle for 4 yards (tackle by Donald Butler and Kendall Reyes),1.520,1.360
1,7:38,3,6,SDG 49,7,0,Matthew Stafford pass incomplete short left intended for Eric Ebron,1.360,0.000
1,7:33,4,6,SDG 49,7,0,"Sam Martin punts 36 yards, fair catch by Jacoby Jones",0.000,0.320
1,7:24,1,10,SDG 13,7,0,Philip Rivers pass complete short left to Melvin Gordon for 9 yards (tackle by Stephen Tulloch),-0.320,0.490
1,6:58,2,1,SDG 22,7,0,Melvin Gordon middle for 5 yards (tackle by Tyrunn Walker and Rashean Mathis),0.490,0.740
1,6:17,1,10,SDG 27,7,0,Melvin Gordon left end for -2 yards (tackle by Jason Jones),0.740,-0.070
1,5:48,2,12,SDG 25,7,0,Danny Woodhead middle for 10 yards (tackle by Josh Wilson and Josh Bynes),-0.070,0.560
1,5:06,3,2,SDG 35,7,0,Philip Rivers pass complete short middle to Steve Johnson for 6 yards (tackle by Stephen Tulloch),0.560,1.660
1,4:28,1,10,SDG 41,7,0,Philip Rivers pass complete short right to Melvin Gordon for 2 yards (tackle by Darryl Tapp),1.660,1.390
1,3:51,2,8,SDG 43,7,0,Melvin Gordon middle for 14 yards (tackle by Josh Wilson and Glover Quin),1.390,2.720
1,3:06,1,10,DET 43,7,0,Danny Woodhead right tackle for no gain (tackle by Josh Bynes),2.720,2.180
1,2:27,2,10,DET 43,7,0,Philip Rivers pass complete short right to Keenan Allen for 21 yards (tackle by Darius Slay and Josh Wilson),2.180,4.110
1,1:54,1,10,DET 22,7,0,Danny Woodhead left end for 1 yard (tackle by Rashean Mathis),4.110,3.700
1,1:15,2,9,DET 21,7,0,Melvin Gordon middle for 7 yards (tackle by Glover Quin),3.700,3.700
1,0:31,2,9,DET 21,7,0,Timeout #1 by Los Angeles Chargers,3.700,4.150
1,0:31,3,2,DET 14,7,0,Philip Rivers pass incomplete short left intended for Danny Woodhead,4.150,2.630
1,0:27,4,2,DET 14,7,3,Josh Lambo 32 yard field goal good,2.630,3.000
1,0:27,,,SDG 35,7,3,"Josh Lambo kicks off 70 yards, returned by Ameer Abdullah for 48 yards (tackle by Eric Weddle)",0.000,-1.800
1,0:14,1,10,DET 43,7,3,Joique Bell middle for 6 yards (tackle by Donald Butler and Jason Verrett),1.800,2.060
Quarter,Time,Down,ToGo,Location,DET,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,DET 49,7,3,Matthew Stafford pass incomplete,2.060,1.350
2,14:53,3,4,DET 49,7,3,Matthew Stafford sacked by Kyle Emanuel for -13 yards,1.350,-0.980
2,14:00,4,17,DET 36,7,3,"Sam Martin punts 42 yards, out of bounds",-0.980,-0.410
2,14:00,1,10,SDG 22,7,3,Melvin Gordon left end for 6 yards (tackle by Tyrunn Walker),0.410,0.680
2,13:25,2,4,SDG 28,7,3,Philip Rivers pass complete short right to Keenan Allen for 3 yards (tackle by Stephen Tulloch and Darius Slay),0.680,0.370
2,12:37,3,1,SDG 31,13,3,"Philip Rivers pass incomplete short middle intended for Keenan Allen is intercepted by Glover Quin at SDG-31 and returned for 31 yards, touchdown",0.370,-7.000
2,12:28,,,SDG 31,14,3,Matt Prater kicks extra point good,0.000,0.000
2,12:28,,,DET 35,14,3,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
2,12:28,1,10,SDG 20,14,3,Philip Rivers pass complete short left to Keenan Allen for 3 yards (tackle by Josh Bynes),0.280,0.140
