Unnamed: 0,DET,SDG
First Downs,16,28
Rush-Yds-TDs,16-69-1,31-96-2
Cmp-Att-Yd-TD-INT,19-30-246-2-2,34-41-403-2-2
Sacked-Yards,1-13,2-16
Net Pass Yards,233,387
Total Yards,302,483
Fumbles-Lost,1-0,2-1
Turnovers,2,3
Penalties-Yards,4-29,5-40
Third Down Conv.,3-10,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,21:48,38:12
