Unnamed: 0,MIA,NWE
First Downs,16,24
Rush-Yds-TDs,16-44-0,45-181-1
Cmp-Att-Yd-TD-INT,16-37-240-1-1,17-29-321-3-0
Sacked-Yards,5-34,0-0
Net Pass Yards,206,321
Total Yards,250,502
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,5-40,5-72
Third Down Conv.,4-13,11-17
Fourth Down Conv.,0-1,0-2
Time of Possession,23:41,36:19
