Quarter,Time,Tm,Detail,IND,TEN
1.0,6:39,Colts,Dontrelle Inman 11 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
2.0,9:26,Colts,Eric Ebron 9 yard pass from Andrew Luck (Adam Vinatieri kick),14,0
,6:35,Titans,Jayon Brown 22 yard interception return (Ryan Succop kick),14,7
,0:39,Colts,Adam Vinatieri 53 yard field goal,17,7
,0:00,Titans,Ryan Succop 38 yard field goal,17,10
3.0,10:46,Colts,Ryan Hewitt 1 yard pass from Andrew Luck (Adam Vinatieri kick),24,10
,1:47,Titans,Luke Stocker 22 yard pass from Blaine Gabbert (Ryan Succop kick),24,17
4.0,3:55,Colts,Adam Vinatieri 25 yard field goal,27,17
,2:24,Colts,Marlon Mack 8 yard rush (Adam Vinatieri kick failed),33,17
