Unnamed: 0,IND,TEN
First Downs,24,11
Rush-Yds-TDs,36-158-1,16-93-0
Cmp-Att-Yd-TD-INT,24-35-285-3-1,18-29-165-1-2
Sacked-Yards,1-7,0-0
Net Pass Yards,278,165
Total Yards,436,258
Fumbles-Lost,1-1,1-1
Turnovers,2,3
Penalties-Yards,12-96,9-75
Third Down Conv.,5-13,1-9
Fourth Down Conv.,1-1,0-1
Time of Possession,40:13,19:47
