#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:26,PIT 41,2,0:48,5,Fumble
2,1,8:25,PIT 21,5,3:33,20,Punt
3,1,3:02,PIT 20,3,0:47,6,Punt
4,1,0:16,PIT 14,3,1:35,-4,Fumble
5,2,12:20,PIT 9,6,3:20,15,Punt
6,2,3:26,PIT 26,1,0:14,8,Fumble
7,2,1:51,PIT 16,9,1:50,84,Touchdown
8,3,15:00,PIT 21,3,3:35,0,Punt
9,3,8:03,PIT 15,3,0:58,4,Interception
10,3,5:19,PIT 18,5,3:24,4,Punt
11,4,14:15,CLE 44,4,2:15,14,Interception
12,4,9:19,PIT 35,3,1:28,6,Punt
13,4,5:13,PIT 15,4,2:13,27,Interception
14,4,2:36,PIT 26,1,0:11,11,Fumble
15,4,0:19,PIT 3,3,0:19,24,Fumble
