Quarter,Time,Tm,Detail,PIT,CLE
1.0,13:49,Steelers,Lawrence Timmons 53 yard interception return (Shaun Suisham kick),7,0
,8:25,Browns,Phil Dawson 28 yard field goal,7,3
2.0,12:20,Browns,Jordan Cameron 5 yard pass from Brandon Weeden (Phil Dawson kick),7,10
,3:26,Browns,Phil Dawson 32 yard field goal,7,13
,0:01,Steelers,Chris Rainey 1 yard rush (Shaun Suisham kick),14,13
3.0,5:19,Browns,Trent Richardson 15 yard rush (Phil Dawson kick),14,20
