Unnamed: 0,PIT,CLE
First Downs,13,14
Rush-Yds-TDs,20-49-1,34-108-1
Cmp-Att-Yd-TD-INT,20-34-199-0-3,17-26-158-1-1
Sacked-Yards,1-6,4-28
Net Pass Yards,193,130
Total Yards,242,238
Fumbles-Lost,8-5,0-0
Turnovers,8,1
Penalties-Yards,9-68,10-90
Third Down Conv.,1-9,3-16
Fourth Down Conv.,0-0,0-0
Time of Possession,26:30,33:30
