Quarter,Time,Tm,Detail,SFO,STL
1.0,4:43,Rams,Jeff Wilkins 29 yard field goal,0,3
,2:23,49ers,Todd Peterson 51 yard field goal,3,3
2.0,9:29,Rams,Torry Holt 22 yard pass from Chris Chandler (Jeff Wilkins kick),3,10
,0:45,Rams,Jeff Wilkins 52 yard field goal,3,13
3.0,7:55,49ers,Todd Peterson 40 yard field goal,6,13
4.0,6:44,Rams,Jeff Wilkins 52 yard field goal,6,16
