Unnamed: 0,SFO,STL
First Downs,9,19
Rush-Yds-TDs,27-63-0,31-136-0
Cmp-Att-Yd-TD-INT,10-21-121-0-1,21-31-238-1-1
Sacked-Yards,4-24,3-24
Net Pass Yards,97,214
Total Yards,160,350
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,6-35,8-59
Third Down Conv.,2-13,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,26:40,33:20
