Quarter,Time,Tm,Detail,NOR,ATL
1.0,7:01,Saints,Tre'Quan Smith 15 yard pass from Taysom Hill (Wil Lutz kick),7,0
,3:55,Falcons,Younghoe Koo 53 yard field goal,7,3
2.0,4:51,Falcons,Younghoe Koo 30 yard field goal,7,6
,1:45,Saints,Jared Cook 11 yard pass from Taysom Hill (Wil Lutz kick),14,6
,0:00,Falcons,Younghoe Koo 28 yard field goal,14,9
3.0,9:01,Saints,Alvin Kamara 11 yard rush (Wil Lutz kick),21,9
4.0,7:43,Falcons,Russell Gage 10 yard pass from Matt Ryan (Younghoe Koo kick),21,16
