Unnamed: 0,NOR,ATL
First Downs,23,21
Rush-Yds-TDs,36-207-1,21-70-0
Cmp-Att-Yd-TD-INT,27-37-232-2-0,19-39-273-1-0
Sacked-Yards,2-15,3-11
Net Pass Yards,217,262
Total Yards,424,332
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,10-79,1-15
Third Down Conv.,8-17,5-13
Fourth Down Conv.,2-3,0-1
Time of Possession,36:54,23:06
