Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Matt Ryan pass complete short middle to Todd Gurley for 4 yards (tackle by Kwon Alexander),0.610,0.600
1,14:27,2,6,ATL 29,0,0,Brian Hill right guard for 2 yards (tackle by Malcom Brown and David Onyemata),0.600,0.170
1,13:51,3,4,ATL 31,0,0,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Marshon Lattimore),0.170,-1.310
1,13:45,4,4,ATL 31,0,0,"Sterling Hofrichter punts 55 yards, returned by Tommylee Lewis for no gain (tackle by Kendall Sheffield and Keith Smith). Penalty on Ken Crawley: Offensive Holding, 7 yards",-1.310,0.380
1,13:34,1,10,NOR 7,0,0,Alvin Kamara right end for -1 yards (tackle by AJ Terrell),-0.380,-0.850
1,13:02,2,11,NOR 6,0,0,Taysom Hill pass complete short right to Adam Trautman for 5 yards (tackle by Mykal Walker),-0.850,-0.950
1,12:23,3,6,NOR 11,0,0,Taysom Hill pass incomplete short right intended for Tre'Quan Smith,-0.950,-2.490
1,12:19,4,6,NOR 11,0,0,"Thomas Morstead punts 49 yards, returned by Brandon Powell for 7 yards (tackle by Dwayne Washington)",-2.490,-2.060
1,12:08,1,10,ATL 47,0,0,Brian Hill right tackle for 2 yards (tackle by Sheldon Rankins),2.060,1.790
1,11:31,2,8,ATL 49,0,0,Matt Ryan pass complete short left to Julio Jones for 2 yards (tackle by Patrick Robinson),1.790,1.360
1,10:52,3,6,NOR 49,0,0,Matt Ryan pass incomplete short right intended for Calvin Ridley,1.360,0.000
1,10:42,4,6,NOR 49,0,0,"Sterling Hofrichter punts 36 yards, fair catch by Tommylee Lewis at NO-13",0.000,0.320
1,10:34,1,10,NOR 13,0,0,Taysom Hill pass incomplete short right intended for Tre'Quan Smith,-0.320,-0.770
1,10:30,2,10,NOR 13,0,0,Alvin Kamara left guard for 3 yards (tackle by Grady Jarrett),-0.770,-1.060
1,9:54,3,7,NOR 16,0,0,"Taysom Hill pass incomplete deep right. Penalty on Grady Jarrett: Roughing the Passer, 15 yards (no play)",-1.060,1.000
1,9:47,1,10,NOR 31,0,0,Taysom Hill sacked by Steven Means for -10 yards,1.000,-0.890
1,9:06,2,20,NOR 21,0,0,Taysom Hill pass complete short right to Michael Thomas for 14 yards (tackle by AJ Terrell and Isaiah Oliver),-0.890,0.300
1,8:32,3,6,NOR 35,0,0,Taysom Hill pass complete short left to Jared Cook for 7 yards (tackle by Foyesade Oluokun),0.300,1.730
1,7:47,1,10,NOR 42,0,0,Taysom Hill right end for 43 yards (tackle by AJ Terrell),1.730,4.580
1,7:08,1,10,ATL 15,6,0,"Taysom Hill pass complete short left to Tre'Quan Smith for 15 yards, touchdown",4.580,7.000
1,7:01,,,ATL 15,7,0,Wil Lutz kicks extra point good,0.000,0.000
1,7:01,,,NOR 35,7,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,7:01,1,10,ATL 25,7,0,Matt Ryan pass complete short right to Julio Jones for 12 yards (tackle by Demario Davis and Marcus Williams),0.610,1.400
1,6:34,1,10,ATL 37,7,0,Ito Smith right tackle for 6 yards (tackle by David Onyemata and Alex Anzalone),1.400,1.670
1,5:53,2,4,ATL 43,7,0,Matt Ryan pass complete short left to Julio Jones for 20 yards (tackle by Marshon Lattimore),1.670,3.120
1,5:22,1,10,NOR 37,7,0,Ito Smith left guard for 4 yards (tackle by Demario Davis and Zack Baun),3.120,3.110
1,4:47,2,6,NOR 33,7,0,Matt Ryan pass complete short right to Ito Smith for -2 yards (tackle by Demario Davis),3.110,2.150
1,4:04,3,8,NOR 35,7,0,Matt Ryan pass incomplete short left intended for Russell Gage,2.150,0.970
1,4:00,4,8,NOR 35,7,3,Younghoe Koo 53 yard field goal good,0.970,3.000
1,3:55,,,ATL 35,7,3,"Sterling Hofrichter kicks off 65 yards, touchback.",0.000,0.610
1,3:55,1,10,NOR 25,7,3,Taysom Hill pass complete short left to Emmanuel Sanders for 7 yards (tackle by Darqueze Dennard),0.610,1.010
1,3:19,2,3,NOR 32,7,3,Latavius Murray left guard for 3 yards (tackle by Dante Fowler),1.010,1.270
1,2:46,1,10,NOR 35,7,3,Taysom Hill pass incomplete deep left intended for Michael Thomas (defended by AJ Terrell),1.270,0.720
1,2:41,2,10,NOR 35,7,3,Alvin Kamara left guard for 7 yards (tackle by Deion Jones),0.720,0.960
1,2:02,3,3,NOR 42,7,3,Taysom Hill pass complete short middle to Michael Thomas for 6 yards (tackle by AJ Terrell and Mykal Walker),0.960,2.130
1,1:30,1,10,NOR 48,7,3,Taysom Hill pass incomplete short right intended for Tre'Quan Smith,2.130,1.580
1,1:25,2,10,NOR 48,7,3,Taysom Hill pass complete short right to Latavius Murray for -3 yards (tackle by Keanu Neal),1.580,0.500
1,0:42,3,13,NOR 45,7,3,Taysom Hill pass complete short right to Tre'Quan Smith for 21 yards (tackle by Keanu Neal),0.500,3.310
1,0:16,1,10,ATL 34,7,3,"Taysom Hill aborted snap, recovered by Alvin Kamara at ATL-45 (tackle by Keanu Neal)",3.310,2.500
Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,ATL 36,7,3,Taysom Hill pass complete short right to Adam Trautman for no gain (tackle by Keanu Neal and Grady Jarrett),2.500,1.820
2,14:19,3,12,ATL 36,7,3,"Penalty on Alvin Kamara: False Start, 5 yards (no play)",1.820,1.160
2,13:58,3,17,ATL 41,7,3,Taysom Hill pass complete deep right to Michael Thomas for 18 yards (tackle by AJ Terrell),1.160,4.040
2,13:33,1,10,ATL 23,7,3,Alvin Kamara left guard for 7 yards (tackle by Foyesade Oluokun),4.040,4.560
2,12:56,2,3,ATL 16,7,3,"Alvin Kamara left end for 1 yard (tackle by Isaiah Oliver). Penalty on Andrus Peat: Offensive Holding, 10 yards (no play)",4.560,3.090
2,12:34,2,13,ATL 26,7,3,Taysom Hill pass complete short right to Alvin Kamara for 1 yard (tackle by Keanu Neal and Deion Jones),3.090,2.540
2,12:06,3,12,ATL 25,7,3,Taysom Hill pass complete short right to Alvin Kamara for 8 yards (tackle by Foyesade Oluokun),2.540,2.390
2,12:00,4,4,ATL 17,7,3,"Penalty on NOR: Delay of Game, 5 yards (no play)",2.390,1.990
