Unnamed: 0,ATL,JAX
First Downs,13,17
Rush-Yds-TDs,25-82-1,34-113-0
Cmp-Att-Yd-TD-INT,12-20-200-0-0,17-25-272-1-0
Sacked-Yards,7-34,4-21
Net Pass Yards,166,251
Total Yards,248,364
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,5-44,11-91
Third Down Conv.,7-14,5-14
Fourth Down Conv.,0-0,1-3
Time of Possession,25:45,34:15
