Quarter,Time,Down,ToGo,Location,ATL,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"John Carney kicks off 57 yards, returned by Jerious Norwood for 16 yards (tackle by Montell Owens)",0.000,0.870
1,14:56,1,10,ATL 29,0,0,Joey Harrington pass complete short right to Alge Crumpler for 35 yards (tackle by Mike Peterson),0.870,3.180
1,14:31,1,10,JAX 36,0,0,Warrick Dunn up the middle for 1 yard (tackle by Reggie Hayward),3.180,2.770
1,13:55,2,9,JAX 35,0,0,Joey Harrington sacked by John Henderson for -7 yards,2.770,1.160
1,13:15,3,16,JAX 42,0,0,Joey Harrington sacked by Mike Peterson for -8 yards,1.160,-0.060
1,12:44,4,24,,0,0,"Michael Koenen punts 30 yards, fair catch by Dennis Northcutt",-0.060,-0.280
1,12:36,1,10,JAX 20,0,0,Fred Taylor for 29 yards (tackle by DeAngelo Hall),0.280,2.190
1,12:07,1,10,JAX 49,0,0,Fred Taylor up the middle for 4 yards (tackle by Grady Jackson),2.190,2.190
1,11:31,2,6,ATL 47,0,0,David Garrard sacked by John Abraham for -7 yards,2.190,0.560
1,10:56,3,13,JAX 46,0,0,David Garrard pass complete short middle to Marcedes Lewis for 14 yards (tackle by Keith Brooking),0.560,2.920
1,10:17,1,10,ATL 40,0,0,Maurice Jones-Drew right end for no gain (tackle by Keith Brooking),2.920,2.370
1,9:38,2,10,ATL 40,0,0,Fred Taylor up the middle for -1 yards (tackle by Chauncey Davis),2.370,1.550
1,8:54,3,11,ATL 41,0,0,"David Garrard pass complete short left to Dennis Northcutt for 10 yards (tackle by Lewis Sanders). Penalty on Dennis Northcutt: Taunting, 15 yards",1.550,0.200
1,8:36,4,16,ATL 46,0,0,Adam Podlesh punts 43 yards,0.200,0.380
1,8:26,1,10,ATL 3,0,0,Jerious Norwood up the middle for 4 yards (tackle by Marcus Stroud),-0.380,-0.490
1,7:49,2,6,ATL 7,0,0,Jerious Norwood up the middle for 1 yard (tackle by John Henderson),-0.490,-0.840
1,7:09,3,5,ATL 8,0,0,Joey Harrington pass complete short right to Roddy White for 10 yards (tackle by Rashean Mathis),-0.840,0.040
1,6:29,1,10,ATL 18,0,0,Jerious Norwood left end for 1 yard (tackle by Daryl Smith),0.040,-0.320
1,5:55,,,,0,0,Timeout #1 by Jacksonville Jaguars,0.000,-0.320
1,5:55,2,9,ATL 19,0,0,Jerious Norwood up the middle for 6 yards (tackle by Marcus Stroud),-0.320,-0.270
1,5:20,3,3,ATL 25,0,0,Joey Harrington pass complete short right to Roddy White for 25 yards (tackle by Rashean Mathis),-0.270,2.260
1,4:48,1,10,,0,0,Joey Harrington pass incomplete short middle intended for Jerious Norwood,2.260,1.710
1,4:42,2,10,,0,0,Jerious Norwood up the middle for -3 yards (tackle by Rob Meier),1.710,0.630
1,4:04,3,13,ATL 47,0,0,Joey Harrington up the middle for 3 yards (tackle by Paul Spicer),0.630,-0.060
1,3:22,4,10,,0,0,"Michael Koenen punts 35 yards, fair catch by Dennis Northcutt",-0.060,0.220
1,3:15,1,10,JAX 15,0,0,"David Garrard up the middle for 3 yards (tackle by Michael Boley). Penalty on Tony Pashos: Offensive Holding, 7 yards (no play)",-0.220,-0.650
1,2:52,1,17,JAX 8,0,0,Fred Taylor up the middle for 2 yards (tackle by Trey Lewis),-0.650,-1.150
1,2:12,2,15,JAX 10,0,0,David Garrard pass complete deep middle to Reggie Williams for 27 yards (tackle by Jimmy F. Williams),-1.150,1.400
1,1:36,1,10,JAX 37,0,0,David Garrard pass complete short right to George Wrighster for 18 yards (tackle by DeAngelo Hall),1.400,2.590
1,0:49,1,10,ATL 45,0,0,David Garrard sacked by Jonathan Babineaux for -4 yards,2.590,1.500
1,0:10,2,14,ATL 49,0,0,David Garrard pass complete short middle to Marcedes Lewis for 25 yards (tackle by DeAngelo Hall),1.500,3.970
Quarter,Time,Down,ToGo,Location,ATL,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 24,0,0,Fred Taylor up the middle for 2 yards (tackle by Demorrio Williams),3.970,3.700
2,14:24,2,8,ATL 22,0,0,David Garrard pass incomplete short middle intended for Marcedes Lewis (defended by DeAngelo Hall),3.700,3.010
2,14:18,3,8,ATL 22,0,0,David Garrard up the middle for 5 yards (tackle by Michael Boley),3.010,2.410
2,13:35,4,3,ATL 17,0,3,John Carney 35 yard field goal good,2.410,3.000
2,,,,JAX 30,0,3,"John Carney kicks off 70 yards, touchback",0.000,0.280
2,13:30,1,10,ATL 20,0,3,Warrick Dunn left end for 8 yards (tackle by Reggie Nelson),0.280,0.810
2,12:59,2,2,ATL 28,0,3,Warrick Dunn up the middle for 3 yards (tackle by Sammy Knight),0.810,1.000
2,12:24,1,10,ATL 31,0,3,Joey Harrington pass complete short left to Alge Crumpler for 5 yards (tackle by Brian Williams),1.000,1.140
2,11:56,2,5,ATL 36,0,3,Warrick Dunn up the middle for 4 yards (tackle by Sammy Knight),1.140,0.960
2,11:17,3,1,ATL 40,0,3,Artose Pinner up the middle for no gain (tackle by Justin Durant),0.960,-0.720
2,10:29,4,1,ATL 40,0,3,"Penalty on Michael Koenen: Delay of Game, 5 yards (no play)",-0.720,-1.040
2,10:17,4,6,ATL 35,0,3,"Michael Koenen punts 42 yards, fair catch by Dennis Northcutt. Penalty on David Irons: Fair Catch Interference, 15 yards",-1.040,-1.470
2,10:07,1,10,JAX 38,0,3,"Penalty on Matt Jones: False Start, 5 yards (no play)",1.470,1.140
2,10:07,1,15,JAX 33,0,3,Maurice Jones-Drew up the middle for 3 yards (tackle by Trey Lewis),1.140,0.650
2,9:26,2,12,JAX 36,0,3,"David Garrard pass incomplete. Penalty on David Garrard: Intentional Grounding, 14 yards",0.650,-1.880
2,9:21,3,26,JAX 22,0,3,David Garrard pass complete short right to Greg Jones for 9 yards (tackle by DeAngelo Hall),-1.880,-1.310
2,9:13,4,17,JAX 31,0,3,"Adam Podlesh punts 37 yards, returned by Adam Jennings for 3 yards (tackle by Chad Nkang)",-1.310,-1.270
2,9:03,1,10,ATL 35,0,3,Joey Harrington pass complete deep left to Roddy White for 35 yards (tackle by Brian Williams),1.270,3.580
