Quarter,Time,Tm,Detail,ATL,JAX
2.0,13:30,Jaguars,John Carney 35 yard field goal,0,3
,0:57,Falcons,Warrick Dunn 4 yard rush (Matt Prater kick),7,3
4.0,14:10,Jaguars,Reggie Williams 14 yard pass from David Garrard (John Carney kick),7,10
,3:39,Jaguars,John Carney 27 yard field goal,7,13
