Quarter,Time,Tm,Detail,TEN,MIA
1.0,5:56,Dolphins,Olindo Mare 40 yard field goal,0,3
2.0,13:42,Titans,Bo Scaife 27 yard pass from Kerry Collins (Rob Bironas kick),7,3
3.0,8:57,Dolphins,Daunte Culpepper 5 yard rush (Olindo Mare kick),7,10
,4:42,Titans,Rob Bironas 22 yard field goal,10,10
4.0,3:39,Dolphins,Olindo Mare 39 yard field goal,10,13
