Unnamed: 0,TEN,MIA
First Downs,14,17
Rush-Yds-TDs,22-62-0,36-159-1
Cmp-Att-Yd-TD-INT,19-33-269-1-2,17-26-168-0-0
Sacked-Yards,2-15,6-38
Net Pass Yards,254,130
Total Yards,316,289
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,6-47,5-29
Third Down Conv.,6-14,6-16
Fourth Down Conv.,0-0,0-0
Time of Possession,24:31,35:29
