Quarter,Time,Tm,Detail,TAM,DET
1.0,11:43,Buccaneers,Rob Gronkowski 33 yard pass from Tom Brady (Ryan Succop kick failed),6,0
,7:39,Buccaneers,Mike Evans 27 yard pass from Tom Brady (Ryan Succop kick),13,0
2.0,11:51,Buccaneers,Leonard Fournette 4 yard rush (Ryan Succop kick),20,0
,4:52,Buccaneers,Chris Godwin 7 yard pass from Tom Brady (Ryan Succop kick),27,0
,1:14,Buccaneers,Antonio Brown 12 yard pass from Tom Brady (Ryan Succop kick),34,0
3.0,14:50,Buccaneers,Rob Gronkowski 25 yard pass from Blaine Gabbert (Ryan Succop kick failed),40,0
,9:20,Lions,Jamal Agnew 74 yard punt return (Matt Prater kick),40,7
,7:07,Buccaneers,Mike Evans 22 yard pass from Blaine Gabbert (Ryan Succop kick),47,7
