Unnamed: 0,TAM,DET
First Downs,30,12
Rush-Yds-TDs,26-111-1,15-73-0
Cmp-Att-Yd-TD-INT,31-42-491-6-0,21-31-152-0-1
Sacked-Yards,2-14,4-39
Net Pass Yards,477,113
Total Yards,588,186
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,8-65,11-117
Third Down Conv.,4-10,1-10
Fourth Down Conv.,1-2,0-1
Time of Possession,35:53,24:07
