Unnamed: 0,CIN,OAK
First Downs,22,16
Rush-Yds-TDs,31-127-2,16-63-0
Cmp-Att-Yd-TD-INT,25-34-269-2-0,30-43-203-2-1
Sacked-Yards,0-0,2-20
Net Pass Yards,269,183
Total Yards,396,246
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,6-50,5-32
Third Down Conv.,4-13,3-12
Fourth Down Conv.,1-1,2-3
Time of Possession,32:32,27:28
