Quarter,Time,Down,ToGo,Location,CIN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,OAK 20,0,0,Derek Carr pass incomplete short left intended for Amari Cooper,0.280,-0.270
1,14:57,2,10,OAK 20,0,0,Latavius Murray middle for 2 yards (tackle by Vincent Rey),-0.270,-0.690
1,14:22,3,8,OAK 22,0,0,Derek Carr pass complete short left to Latavius Murray for 3 yards (tackle by Adam Jones),-0.690,-1.700
1,13:43,4,5,OAK 25,0,0,"Marquette King punts 39 yards, returned by Adam Jones for 5 yards (tackle by Jon Condo)",-1.700,-1.660
1,13:33,1,10,CIN 41,0,0,Andy Dalton pass complete short middle to Tyler Eifert for 4 yards (tackle by Malcolm Smith),1.660,1.660
1,13:03,2,6,CIN 45,0,0,Jeremy Hill right guard for 5 yards (tackle by Khalil Mack),1.660,1.620
1,12:29,3,1,,0,0,Jeremy Hill left end for 10 yards (tackle by T.J. Carrie),1.620,2.920
1,11:52,1,10,OAK 40,0,0,Andy Dalton pass complete short right to Tyler Eifert for 3 yards (tackle by Curtis Lofton),2.920,2.780
1,11:13,2,7,OAK 37,0,0,Andy Dalton pass complete short right to Marvin Jones for 12 yards (tackle by Malcolm Smith),2.780,3.910
1,10:37,1,10,OAK 25,0,0,Andy Dalton middle for 3 yards (tackle by Malcolm Smith),3.910,3.770
1,9:53,2,7,OAK 22,0,0,Andy Dalton pass complete short right to Tyler Eifert for 10 yards (tackle by D.J. Hayden),3.770,4.780
1,9:27,1,10,OAK 12,0,0,Jeremy Hill left tackle for 6 yards (tackle by Nate Allen and Curtis Lofton),4.780,5.210
1,8:45,2,4,OAK 6,0,0,Jeremy Hill right guard for 3 yards,5.210,5.210
1,8:05,2,4,OAK 6,0,0,Timeout #1 by Cincinnati Bengals,5.210,5.060
1,8:05,3,1,OAK 3,0,0,Jeremy Hill middle for no gain,5.060,3.060
1,7:21,4,1,OAK 3,6,0,"Jeremy Hill left end for 3 yards, touchdown",3.060,7.000
1,7:21,,,OAK 3,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,7:21,,,CIN 35,7,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,7:15,1,10,OAK 20,7,0,Derek Carr pass incomplete short left intended for Amari Cooper (defended by Adam Jones),0.280,-0.270
1,7:12,2,10,OAK 20,7,0,Derek Carr pass incomplete short right intended for Amari Cooper. Penalty on Amari Cooper: Offensive Pass Interference (Declined),-0.270,-0.960
1,7:08,3,10,OAK 20,7,0,Derek Carr pass complete short right to Michael Crabtree for 10 yards (tackle by Dre Kirkpatrick),-0.960,0.940
1,6:18,1,10,OAK 30,7,0,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",0.940,0.610
1,6:02,1,15,OAK 25,7,0,Derek Carr pass incomplete short right intended for Marcel Reece,0.610,-0.280
1,5:58,2,15,OAK 25,7,0,Taiwan Jones left end for 1 yard (tackle by Adam Jones),-0.280,-0.820
1,5:22,3,14,OAK 26,7,0,Derek Carr pass complete short middle to Latavius Murray for 11 yards (tackle by Vincent Rey),-0.820,-0.910
1,4:45,4,3,OAK 37,7,0,"Marquette King punts 32 yards, fair catch by Brandon Tate",-0.910,-1.000
1,4:38,1,10,CIN 31,7,0,Andy Dalton pass complete short right to A.J. Green for 7 yards (tackle by D.J. Hayden),1.000,1.410
1,4:04,2,3,CIN 38,7,0,Jeremy Hill middle for 11 yards (tackle by Charles Woodson),1.410,2.190
1,3:37,1,10,CIN 49,7,0,Andy Dalton pass incomplete deep right intended for A.J. Green,2.190,1.650
1,3:31,2,10,CIN 49,7,0,Andy Dalton pass incomplete short left intended for Mohamed Sanu (defended by Justin Tuck),1.650,0.960
1,3:27,3,10,CIN 49,7,0,Andy Dalton pass complete short right to Tyler Eifert for 7 yards (tackle by T.J. Carrie),0.960,0.330
1,2:43,4,3,OAK 44,7,0,"Kevin Huber punts 37 yards, fair catch by T.J. Carrie",0.330,0.380
1,2:35,1,10,OAK 7,7,0,Latavius Murray right tackle for 2 yards (tackle by Adam Jones),-0.380,-0.630
1,2:01,2,8,OAK 9,7,0,"Derek Carr pass complete short middle to Amari Cooper for 6 yards (tackle by George Iloka). Penalty on George Iloka: Taunting, 15 yards",-0.630,0.940
1,1:38,1,10,OAK 30,7,0,Latavius Murray left guard for 7 yards (tackle by Rey Maualuga),0.940,1.340
1,1:00,2,3,OAK 37,7,0,Latavius Murray middle for 2 yards (tackle by Adam Jones),1.340,0.890
1,0:30,3,1,OAK 39,7,0,"Penalty on Rodney Hudson: False Start, 5 yards (no play)",0.890,0.230
1,0:09,3,6,OAK 34,7,0,"Derek Carr pass complete short left to Amari Cooper for 24 yards (tackle by Chris Carter and George Iloka). Penalty on Rodney Hudson: Unnecessary Roughness, 15 yards",0.230,1.800
Quarter,Time,Down,ToGo,Location,CIN,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 43,7,0,Derek Carr pass complete short left to Latavius Murray for 1 yard (tackle by Adam Jones),1.800,1.390
2,14:24,2,9,OAK 44,7,0,Latavius Murray left tackle for 3 yards (tackle by Vincent Rey and Pat Sims),1.390,1.090
2,13:46,3,6,OAK 47,7,0,Derek Carr pass incomplete short right intended for Michael Crabtree,1.090,-0.260
2,13:41,4,6,OAK 47,7,0,"Marquette King punts 45 yards, fair catch by Brandon Tate",-0.260,0.380
2,13:34,1,10,CIN 8,7,0,Giovani Bernard right tackle for no gain (tackle by Dan Williams and Justin Tuck),-0.380,-0.780
2,12:57,2,10,CIN 8,7,0,Andy Dalton pass complete short middle to Tyler Eifert for 10 yards (tackle by Malcolm Smith),-0.780,0.040
2,12:18,1,10,CIN 18,7,0,Andy Dalton pass complete short middle to Giovani Bernard for 3 yards (tackle by D.J. Hayden),0.040,0.010
2,11:46,2,7,CIN 21,7,0,Andy Dalton pass complete short right to Mohamed Sanu for 28 yards (tackle by Larry Asante),0.010,2.190
2,11:20,1,10,CIN 49,7,0,Andy Dalton pass complete deep left to Tyler Eifert for 31 yards (tackle by Charles Woodson and Larry Asante),2.190,4.240
2,10:52,1,10,OAK 20,7,0,Andy Dalton pass complete short right to Mohamed Sanu for 6 yards (tackle by Charles Woodson),4.240,4.640
2,10:22,2,4,OAK 14,7,0,Andy Dalton pass incomplete short right intended for A.J. Green,4.640,4.640
2,10:17,2,4,OAK 14,7,0,Timeout #2 by Cincinnati Bengals,4.640,3.890
2,10:17,3,4,OAK 14,7,0,Andy Dalton pass complete short right to A.J. Green for no gain,3.890,2.580
2,9:33,4,4,OAK 14,10,0,Mike Nugent 32 yard field goal good,2.580,3.000
2,9:33,,,CIN 35,10,0,"Mike Nugent kicks off 73 yards, returned by Taiwan Jones for 33 yards (tackle by Darqueze Dennard)",0.000,-0.610
2,9:21,1,10,OAK 25,10,0,Latavius Murray middle for 5 yards (tackle by Michael Johnson),0.610,0.740
2,8:39,2,5,OAK 30,10,0,"Jamize Olawale left tackle for 60 yards (tackle by Dre Kirkpatrick). Penalty on Austin Howard: Offensive Holding (Offsetting), Penalty on Austin Howard: Unnecessary Roughness (Offsetting), Penalty on Adam Jones: Unnecessary Roughness (Offsetting) (no play)",0.740,0.740
2,7:56,2,5,OAK 30,10,0,Derek Carr pass complete short middle to Latavius Murray for 6 yards (tackle by A.J. Hawk),0.740,1.330
2,7:17,1,10,OAK 36,10,0,Latavius Murray middle for 1 yard (tackle by A.J. Hawk and Carlos Dunlap),1.330,0.930
2,6:43,2,9,OAK 37,10,0,Taiwan Jones left end for no gain (tackle by Adam Jones),0.930,0.230
2,5:59,3,9,OAK 37,10,0,"Derek Carr left end for 8 yards (tackle by Adam Jones). Derek Carr fumbles (forced by Adam Jones), ball out of bounds at OAK-45",0.230,-0.390
2,5:29,4,1,OAK 45,10,0,Latavius Murray middle for no gain (tackle by Rey Maualuga),-0.390,-2.650
2,5:21,1,10,OAK 44,10,0,Andy Dalton pass incomplete deep right intended for Tyler Eifert,2.650,2.110
2,5:16,2,10,OAK 44,10,0,Andy Dalton pass complete short right to Giovani Bernard for 3 yards (tackle by Khalil Mack),2.110,1.820
2,4:31,3,7,OAK 41,10,0,Andy Dalton pass complete deep left to A.J. Green for 30 yards (tackle by Larry Asante),1.820,4.840
2,4:01,1,10,OAK 11,10,0,Giovani Bernard middle for 6 yards (tackle by Aldon Smith and Malcolm Smith),4.840,5.280
2,3:27,2,4,OAK 5,10,0,Jeremy Hill middle for 1 yard (tackle by Justin Tuck),5.280,4.670
2,2:47,3,3,OAK 4,10,0,"Andy Dalton pass complete short right to A.J. Green for 1 yard (tackle by Malcolm Smith). Penalty on D.J. Hayden: Defensive Holding, 2 yards (no play)",4.670,6.740
2,2:26,1,2,OAK 2,16,0,"Jeremy Hill middle for 2 yards, touchdown",6.740,7.000
2,2:26,,,OAK 2,17,0,Mike Nugent kicks extra point good,0.000,0.000
2,2:26,,,CIN 35,17,0,"Mike Nugent kicks off 65 yards, touchback. Penalty on Rex Burkhead: Offensive Offside, 5 yards",0.000,-0.610
2,2:21,1,10,OAK 25,17,0,Matt McGloin pass incomplete short left intended for Seth Roberts,0.610,0.060
