Quarter,Time,Tm,Detail,CIN,OAK
1.0,7:15,Bengals,Jeremy Hill 3 yard rush (Mike Nugent kick),7,0
2.0,9:29,Bengals,Mike Nugent 32 yard field goal,10,0
,2:21,Bengals,Jeremy Hill 2 yard rush (Mike Nugent kick),17,0
,0:07,Bengals,Tyler Eifert 13 yard pass from Andy Dalton (Mike Nugent kick),24,0
3.0,3:42,Bengals,Tyler Eifert 8 yard pass from Andy Dalton (Mike Nugent kick failed),30,0
,1:25,Bengals,Mike Nugent 35 yard field goal,33,0
4.0,7:55,Raiders,Marcel Reece 11 yard pass from Matt McGloin (Sebastian Janikowski kick),33,7
,2:13,Raiders,Marcel Reece 9 yard pass from Matt McGloin (pass failed),33,13
