Unnamed: 0,NYG,MIN
First Downs,15,17
Rush-Yds-TDs,20-91-0,40-218-3
Cmp-Att-Yd-TD-INT,20-34-302-2-3,15-25-168-1-0
Sacked-Yards,4-30,3-18
Net Pass Yards,272,150
Total Yards,363,368
Fumbles-Lost,3-0,0-0
Turnovers,3,0
Penalties-Yards,7-48,2-10
Third Down Conv.,1-11,6-16
Fourth Down Conv.,0-2,0-0
Time of Possession,25:03,34:57
