Quarter,Time,Tm,Detail,PIT,HOU
1.0,8:55,Texans,Nico Collins 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),0,7
,1:20,Texans,Ka'imi Fairbairn 36 yard field goal,0,10
2.0,12:09,Texans,Ka'imi Fairbairn 38 yard field goal,0,13
,0:00,Texans,Ka'imi Fairbairn 39 yard field goal,0,16
3.0,9:31,Steelers,Chris Boswell 35 yard field goal,3,16
,5:47,Steelers,Chris Boswell 23 yard field goal,6,16
4.0,10:50,Texans,Dalton Schultz 6 yard pass from Devin Singletary (Ka'imi Fairbairn kick),6,23
,3:39,Texans,Nico Collins 52 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),6,30
