Unnamed: 0,NOR,ATL
First Downs,18,26
Rush-Yds-TDs,15-50-0,37-132-1
Cmp-Att-Yd-TD-INT,26-35-271-2-1,15-27-221-1-3
Sacked-Yards,2-15,1-10
Net Pass Yards,256,211
Total Yards,306,343
Fumbles-Lost,0-0,1-0
Turnovers,1,3
Penalties-Yards,11-87,4-35
Third Down Conv.,3-10,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,25:19,34:41
