Unnamed: 0,CHI,NYG
First Downs,13,15
Rush-Yds-TDs,34-122-2,25-91-2
Cmp-Att-Yd-TD-INT,8-21-144-1-0,18-36-195-1-2
Sacked-Yards,5-35,7-28
Net Pass Yards,109,167
Total Yards,231,258
Fumbles-Lost,2-2,4-3
Turnovers,2,5
Penalties-Yards,11-70,14-109
Third Down Conv.,2-15,1-14
Fourth Down Conv.,0-0,0-3
Time of Possession,30:03,29:57
