Unnamed: 0,MIN,NYG
First Downs,11,25
Rush-Yds-TDs,21-12-0,29-124-1
Cmp-Att-Yd-TD-INT,18-31-144-0-0,23-48-291-1-4
Sacked-Yards,4-19,2-10
Net Pass Yards,125,281
Total Yards,137,405
Fumbles-Lost,1-1,1-1
Turnovers,1,5
Penalties-Yards,7-90,9-75
Third Down Conv.,2-15,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,24:25,35:35
